jointHR1,jointHR2,jointHR3,footHRx,footHRy,footHRz,force_sign_HR
-0.71488660573959,0.57373034954071,-1.8263018131256,-0.12365389615297,-0.16021585464478,0.39390808343887,1
-0.71719253063202,0.57323968410492,-1.8248326778412,-0.12413416057825,-0.16009432077408,0.39390996098518,1
-0.71948993206024,0.57274097204208,-1.8233506679535,-0.12461961060762,-0.15998357534409,0.39390727877617,1
-0.72178339958191,0.57223695516586,-1.8218574523926,-0.12511044740677,-0.15986482799053,0.39390787482262,1
-0.72407358884811,0.57173347473145,-1.8203619718552,-0.12559378147125,-0.15973742306232,0.39391225576401,1
-0.72635543346405,0.57122534513474,-1.8188591003418,-0.12607489526272,-0.15962286293507,0.39391127228737,1
-0.72863078117371,0.57070899009705,-1.8173413276672,-0.12656468153,-0.15951074659824,0.39390909671783,1
-0.73090356588364,0.57019084692001,-1.8158175945282,-0.12705278396606,-0.15938477218151,0.39391279220581,1
-0.73317056894302,0.56967175006866,-1.8142912387848,-0.12753304839134,-0.15926316380501,0.39391475915909,1
-0.73542910814285,0.56914472579956,-1.8127521276474,-0.12801843881607,-0.15915238857269,0.3939121067524,1
-0.73768365383148,0.56861233711243,-1.8112018108368,-0.12850931286812,-0.15903379023075,0.39391258358955,1
-0.73993486166,0.56807994842529,-1.8096492290497,-0.12899270653725,-0.15890638530254,0.39391696453094,1
-0.74217796325684,0.56754356622696,-1.8080892562866,-0.12947379052639,-0.15879169106483,0.39391607046127,1
-0.74441432952881,0.56699860095978,-1.8065149784088,-0.12996356189251,-0.15867963433266,0.39391380548477,1
-0.7466481924057,0.56645131111145,-1.8049345016479,-0.13045173883438,-0.15855376422405,0.39391741156578,1
-0.7488762140274,0.5659031867981,-1.8033511638641,-0.13093201816082,-0.15843205153942,0.39391946792603,1
-0.75109577178955,0.56534743309021,-1.8017554283142,-0.13141736388206,-0.15832121670246,0.39391687512398,1
-0.75331115722656,0.56478637456894,-1.8001482486725,-0.13190826773643,-0.15820275247097,0.39391726255417,1
-0.75552344322205,0.56422472000122,-1.7985389232635,-0.13239172101021,-0.1580753326416,0.39392164349556,1
-0.75772762298584,0.56365919113159,-1.7969226837158,-0.13287276029587,-0.15796050429344,0.39392086863518,1
-0.75992476940155,0.56308543682098,-1.7952914237976,-0.13336250185966,-0.15784852206707,0.39391857385635,1
-0.76211959123611,0.56250870227814,-1.7936542034149,-0.13385111093521,-0.15772378444672,0.39392155408859,1
-0.76430881023407,0.56193161010742,-1.792014837265,-0.13433150947094,-0.15760181844234,0.39392375946045,1
-0.76648968458176,0.56134784221649,-1.7903637886047,-0.13481685519218,-0.157491132617,0.39392107725143,1
-0.76866620779037,0.56075829267502,-1.7887017726898,-0.13530766963959,-0.15737265348434,0.3939214348793,1
-0.7708398103714,0.56016850471497,-1.7870378494263,-0.13579173386097,-0.15724603831768,0.39392539858818,1
-0.77300548553467,0.55957496166229,-1.7853672504425,-0.13627249002457,-0.15713016688824,0.39392510056496,1
-0.77516406774521,0.558973133564,-1.7836825847626,-0.13676230609417,-0.15701825916767,0.39392271637917,1
-0.77732014656067,0.55836862325668,-1.7819910049438,-0.13725040853024,-0.15689224004745,0.3939263522625,1
-0.7794703245163,0.55776286125183,-1.7802968025208,-0.13773050904274,-0.15677034854889,0.39392855763435,1
-0.78161191940308,0.55714952945709,-1.7785894870758,-0.13821579515934,-0.15665936470032,0.39392605423927,1
-0.78374934196472,0.5565299987793,-1.7768707275391,-0.13870666921139,-0.15654081106186,0.39392638206482,1
-0.78588354587555,0.55590963363647,-1.7751493453979,-0.13919000327587,-0.15641331672668,0.39393082261086,1
-0.78800988197327,0.55528497695923,-1.7734208106995,-0.13967098295689,-0.1562983840704,0.39393016695976,1
-0.79012924432755,0.55465149879456,-1.7716770172119,-0.14016078412533,-0.15618632733822,0.39392787218094,1
-0.79224610328674,0.55401599407196,-1.7699272632599,-0.14064900577068,-0.15606056153774,0.39393132925034,1
-0.79435735940933,0.55337911844254,-1.7681747674942,-0.14112924039364,-0.1559386998415,0.39393353462219,1
-0.79646021127701,0.552734375,-1.7664098739624,-0.14161457121372,-0.15582773089409,0.39393103122711,1
-0.79855859279633,0.55208337306976,-1.7646334171295,-0.1421055495739,-0.15570941567421,0.39393118023872,1
