tr,cr,fr,z
-0.554,-0.160,-0.724,0.000
-0.557,-0.164,-0.717,0.000
-0.559,-0.167,-0.710,0.000
-0.562,-0.170,-0.703,0.000
-0.564,-0.174,-0.696,0.000
-0.566,-0.178,-0.688,0.000
-0.569,-0.182,-0.680,0.000
-0.572,-0.186,-0.671,0.000
-0.574,-0.191,-0.662,0.000
-0.577,-0.196,-0.653,0.000
-0.580,-0.200,-0.644,0.000
-0.582,-0.205,-0.634,0.000
-0.585,-0.211,-0.623,0.000
-0.588,-0.214,-0.615,0.000
-0.590,-0.217,-0.609,0.000
-0.592,-0.217,-0.606,0.000
-0.594,-0.217,-0.604,0.000
-0.596,-0.215,-0.604,0.001
-0.597,-0.212,-0.606,0.001
-0.598,-0.208,-0.608,0.001
-0.599,-0.204,-0.612,0.002
-0.600,-0.199,-0.617,0.002
-0.601,-0.193,-0.623,0.002
-0.602,-0.187,-0.629,0.003
-0.602,-0.180,-0.636,0.003
-0.603,-0.173,-0.644,0.004
-0.603,-0.166,-0.652,0.004
-0.604,-0.158,-0.660,0.004
-0.604,-0.150,-0.669,0.005
-0.604,-0.142,-0.678,0.005
-0.604,-0.133,-0.687,0.006
-0.605,-0.125,-0.697,0.006
-0.605,-0.116,-0.706,0.007
-0.605,-0.107,-0.716,0.007
-0.605,-0.098,-0.725,0.008
-0.605,-0.090,-0.735,0.008
-0.605,-0.081,-0.745,0.009
-0.605,-0.072,-0.755,0.010
-0.604,-0.063,-0.764,0.010
-0.604,-0.054,-0.774,0.011
-0.604,-0.045,-0.783,0.011
-0.604,-0.036,-0.793,0.012
-0.604,-0.027,-0.802,0.012
-0.604,-0.018,-0.812,0.013
-0.604,-0.009,-0.821,0.013
-0.603,0.000,-0.830,0.014
-0.603,0.009,-0.839,0.015
-0.603,0.017,-0.849,0.015
-0.603,0.026,-0.857,0.016
-0.602,0.035,-0.866,0.016
-0.602,0.043,-0.875,0.017
-0.602,0.052,-0.883,0.017
-0.602,0.060,-0.891,0.018
-0.602,0.068,-0.898,0.018
-0.602,0.076,-0.906,0.019
-0.602,0.084,-0.913,0.020
-0.603,0.092,-0.920,0.020
-0.603,0.100,-0.927,0.021
-0.603,0.108,-0.934,0.021
-0.603,0.115,-0.940,0.022
-0.603,0.123,-0.947,0.022
-0.604,0.130,-0.953,0.023
-0.604,0.138,-0.959,0.024
-0.604,0.146,-0.966,0.024
-0.604,0.153,-0.973,0.025
-0.604,0.161,-0.979,0.025
-0.604,0.169,-0.986,0.026
-0.603,0.177,-0.993,0.026
-0.603,0.184,-1.000,0.027
-0.603,0.192,-1.007,0.028
-0.603,0.200,-1.014,0.028
-0.602,0.208,-1.021,0.029
-0.601,0.216,-1.028,0.029
-0.600,0.224,-1.036,0.030
-0.599,0.231,-1.044,0.030
-0.598,0.239,-1.051,0.031
-0.597,0.247,-1.059,0.031
-0.596,0.255,-1.067,0.032
-0.594,0.262,-1.075,0.032
-0.593,0.270,-1.083,0.033
-0.591,0.278,-1.091,0.033
-0.589,0.285,-1.099,0.034
-0.587,0.293,-1.107,0.034
-0.585,0.300,-1.116,0.034
-0.583,0.307,-1.124,0.035
-0.581,0.314,-1.132,0.035
-0.579,0.321,-1.140,0.036
-0.577,0.328,-1.148,0.036
-0.574,0.335,-1.156,0.036
-0.572,0.342,-1.164,0.037
-0.569,0.348,-1.172,0.037
-0.567,0.355,-1.180,0.037
-0.565,0.362,-1.188,0.038
-0.562,0.369,-1.195,0.038
-0.560,0.376,-1.203,0.038
-0.557,0.383,-1.211,0.039
-0.555,0.390,-1.219,0.039
-0.552,0.396,-1.226,0.039
-0.550,0.403,-1.234,0.040
-0.547,0.410,-1.241,0.040
-0.544,0.416,-1.249,0.041
-0.542,0.423,-1.256,0.041
-0.539,0.429,-1.263,0.041
-0.536,0.436,-1.271,0.041
-0.533,0.442,-1.278,0.042
-0.530,0.448,-1.285,0.042
-0.528,0.454,-1.292,0.042
-0.525,0.460,-1.299,0.043
-0.522,0.467,-1.306,0.043
-0.519,0.473,-1.313,0.043
-0.516,0.479,-1.320,0.044
-0.513,0.485,-1.327,0.044
-0.510,0.491,-1.334,0.044
-0.507,0.498,-1.340,0.045
-0.504,0.504,-1.347,0.045
-0.502,0.510,-1.354,0.045
-0.499,0.516,-1.360,0.046
-0.496,0.522,-1.367,0.046
-0.493,0.528,-1.373,0.046
-0.490,0.534,-1.380,0.047
-0.487,0.541,-1.386,0.047
-0.484,0.547,-1.392,0.047
-0.481,0.553,-1.398,0.048
-0.478,0.559,-1.405,0.048
-0.475,0.565,-1.411,0.048
-0.472,0.570,-1.417,0.049
-0.469,0.576,-1.423,0.049
-0.466,0.582,-1.429,0.049
-0.463,0.588,-1.435,0.049
-0.460,0.594,-1.441,0.050
-0.456,0.600,-1.446,0.050
-0.453,0.605,-1.452,0.050
-0.450,0.611,-1.458,0.051
-0.447,0.616,-1.463,0.051
-0.444,0.622,-1.469,0.051
-0.440,0.627,-1.475,0.052
-0.437,0.633,-1.480,0.052
-0.434,0.638,-1.485,0.052
-0.431,0.644,-1.491,0.052
-0.427,0.649,-1.496,0.053
-0.424,0.654,-1.501,0.053
-0.420,0.660,-1.507,0.053
-0.417,0.665,-1.512,0.054
-0.414,0.670,-1.517,0.054
-0.410,0.675,-1.522,0.054
-0.407,0.680,-1.527,0.054
-0.404,0.686,-1.532,0.055
-0.400,0.691,-1.537,0.055
-0.397,0.696,-1.542,0.055
-0.393,0.701,-1.547,0.056
-0.390,0.707,-1.552,0.056
-0.386,0.712,-1.556,0.056
-0.383,0.717,-1.561,0.056
-0.380,0.722,-1.566,0.057
-0.376,0.727,-1.570,0.057
-0.373,0.732,-1.575,0.057
-0.369,0.737,-1.579,0.058
-0.365,0.742,-1.584,0.058
-0.362,0.747,-1.588,0.058
-0.358,0.751,-1.592,0.058
-0.354,0.756,-1.597,0.059
-0.351,0.760,-1.601,0.059
-0.347,0.765,-1.605,0.059
-0.343,0.769,-1.609,0.059
-0.340,0.773,-1.613,0.059
-0.336,0.777,-1.617,0.060
-0.332,0.781,-1.621,0.060
-0.328,0.785,-1.625,0.060
-0.324,0.788,-1.628,0.060
-0.320,0.792,-1.632,0.060
-0.316,0.795,-1.636,0.060
-0.312,0.799,-1.639,0.061
-0.308,0.802,-1.643,0.061
-0.304,0.805,-1.646,0.061
-0.300,0.808,-1.649,0.061
-0.296,0.812,-1.653,0.061
-0.293,0.816,-1.656,0.061
-0.289,0.820,-1.660,0.062
-0.285,0.824,-1.663,0.062
-0.282,0.829,-1.666,0.062
-0.279,0.834,-1.669,0.062
-0.276,0.838,-1.673,0.063
-0.272,0.843,-1.676,0.063
-0.269,0.848,-1.679,0.063
-0.266,0.853,-1.682,0.064
-0.262,0.857,-1.685,0.064
-0.259,0.861,-1.688,0.064
-0.255,0.865,-1.691,0.064
-0.251,0.869,-1.694,0.065
