tr2,cr2,fr2
-0.6399,0.6407,-1.6242
-0.6375,0.6407,-1.6267
-0.6351,0.6407,-1.6291
-0.6328,0.6407,-1.6315
-0.6304,0.6406,-1.6339
-0.6280,0.6405,-1.6362
-0.6256,0.6404,-1.6385
-0.6231,0.6403,-1.6408
-0.6207,0.6401,-1.6430
-0.6182,0.6399,-1.6452
-0.6157,0.6397,-1.6474
-0.6132,0.6396,-1.6496
-0.6107,0.6394,-1.6518
-0.6081,0.6393,-1.6541
-0.6056,0.6392,-1.6563
-0.6030,0.6391,-1.6585
-0.6005,0.6390,-1.6607
-0.5979,0.6389,-1.6629
-0.5953,0.6388,-1.6651
-0.5927,0.6387,-1.6673
-0.5901,0.6386,-1.6695
-0.5875,0.6385,-1.6716
-0.5849,0.6384,-1.6738
-0.5822,0.6383,-1.6760
-0.5796,0.6382,-1.6781
-0.5770,0.6381,-1.6802
-0.5743,0.6379,-1.6823
-0.5716,0.6378,-1.6844
-0.5689,0.6377,-1.6865
-0.5662,0.6375,-1.6885
-0.5635,0.6373,-1.6906
-0.5608,0.6372,-1.6926
-0.5581,0.6370,-1.6946
-0.5554,0.6368,-1.6966
-0.5526,0.6366,-1.6986
-0.5499,0.6364,-1.7005
-0.5471,0.6361,-1.7025
-0.5444,0.6359,-1.7044
-0.5416,0.6357,-1.7063
-0.5388,0.6354,-1.7082
-0.5360,0.6351,-1.7101
-0.5332,0.6348,-1.7119
-0.5304,0.6346,-1.7138
-0.5275,0.6343,-1.7156
-0.5247,0.6340,-1.7174
-0.5219,0.6337,-1.7192
-0.5190,0.6333,-1.7210
-0.5161,0.6330,-1.7227
-0.5132,0.6327,-1.7244
-0.5104,0.6323,-1.7262
-0.5075,0.6320,-1.7279
-0.5046,0.6316,-1.7296
-0.5016,0.6312,-1.7312
-0.4987,0.6308,-1.7329
-0.4958,0.6304,-1.7345
-0.4928,0.6300,-1.7361
-0.4899,0.6295,-1.7377
-0.4869,0.6291,-1.7393
-0.4839,0.6287,-1.7408
-0.4809,0.6282,-1.7424
-0.4779,0.6277,-1.7439
-0.4749,0.6272,-1.7454
-0.4719,0.6267,-1.7468
-0.4689,0.6262,-1.7483
-0.4659,0.6257,-1.7497
-0.4628,0.6251,-1.7512
-0.4598,0.6246,-1.7526
-0.4567,0.6240,-1.7539
-0.4536,0.6235,-1.7553
-0.4505,0.6229,-1.7566
-0.4475,0.6223,-1.7580
-0.4444,0.6217,-1.7592
-0.4412,0.6211,-1.7605
-0.4381,0.6205,-1.7618
-0.4350,0.6199,-1.7632
-0.4318,0.6194,-1.7645
-0.4286,0.6189,-1.7658
-0.4255,0.6184,-1.7671
-0.4223,0.6179,-1.7684
-0.4190,0.6174,-1.7697
-0.4158,0.6169,-1.7710
-0.4126,0.6165,-1.7722
-0.4093,0.6160,-1.7735
-0.4061,0.6155,-1.7748
-0.4028,0.6151,-1.7760
-0.3995,0.6146,-1.7773
-0.3962,0.6142,-1.7785
-0.3929,0.6137,-1.7797
-0.3896,0.6132,-1.7809
-0.3863,0.6128,-1.7821
-0.3829,0.6123,-1.7832
-0.3796,0.6118,-1.7844
-0.3762,0.6113,-1.7855
-0.3729,0.6108,-1.7866
-0.3695,0.6104,-1.7878
-0.3661,0.6099,-1.7889
-0.3627,0.6095,-1.7900
-0.3593,0.6091,-1.7911
-0.3559,0.6088,-1.7924
-0.3525,0.6085,-1.7936
-0.3491,0.6082,-1.7948
-0.3456,0.6079,-1.7960
-0.3421,0.6075,-1.7971
-0.3387,0.6072,-1.7982
-0.3352,0.6070,-1.7994
-0.3317,0.6067,-1.8005
-0.3282,0.6064,-1.8016
-0.3247,0.6061,-1.8027
-0.3211,0.6058,-1.8038
-0.3176,0.6055,-1.8049
-0.3141,0.6052,-1.8060
-0.3105,0.6049,-1.8070
-0.3069,0.6046,-1.8080
-0.3033,0.6043,-1.8090
-0.2997,0.6040,-1.8099
-0.2961,0.6036,-1.8107
-0.2924,0.6033,-1.8116
-0.2888,0.6029,-1.8124
-0.2851,0.6025,-1.8133
-0.2815,0.6021,-1.8141
-0.2778,0.6016,-1.8148
-0.2742,0.6011,-1.8155
-0.2705,0.6005,-1.8162
-0.2669,0.5999,-1.8168
-0.2632,0.5992,-1.8173
-0.2596,0.5984,-1.8178
-0.2559,0.5976,-1.8183
-0.2523,0.5968,-1.8187
-0.2486,0.5960,-1.8191
-0.2450,0.5951,-1.8195
-0.2413,0.5941,-1.8198
-0.2376,0.5932,-1.8201
-0.2340,0.5922,-1.8204
-0.2303,0.5912,-1.8206
-0.2266,0.5902,-1.8209
-0.2230,0.5892,-1.8210
-0.2193,0.5881,-1.8212
-0.2156,0.5870,-1.8213
-0.2119,0.5859,-1.8214
-0.2082,0.5848,-1.8215
-0.2045,0.5837,-1.8216
-0.2008,0.5825,-1.8216
-0.1971,0.5813,-1.8216
-0.1934,0.5801,-1.8216
-0.1897,0.5789,-1.8215
-0.1860,0.5777,-1.8214
-0.1823,0.5765,-1.8213
-0.1785,0.5752,-1.8212
-0.1748,0.5739,-1.8211
-0.1711,0.5727,-1.8209
-0.1673,0.5714,-1.8207
-0.1638,0.5701,-1.8205
-0.1610,0.5689,-1.8202
-0.1589,0.5679,-1.8199
-0.1575,0.5669,-1.8196
-0.1565,0.5660,-1.8192
-0.1560,0.5652,-1.8188
-0.1560,0.5645,-1.8184
-0.1564,0.5638,-1.8179
-0.1571,0.5631,-1.8174
-0.1581,0.5625,-1.8169
-0.1595,0.5619,-1.8163
-0.1611,0.5614,-1.8158
-0.1629,0.5609,-1.8151
-0.1649,0.5604,-1.8145
-0.1671,0.5600,-1.8138
-0.1695,0.5595,-1.8132
-0.1720,0.5591,-1.8125
-0.1746,0.5587,-1.8117
-0.1774,0.5583,-1.8110
-0.1803,0.5579,-1.8102
-0.1833,0.5576,-1.8094
-0.1864,0.5572,-1.8086
-0.1895,0.5568,-1.8077
-0.1927,0.5565,-1.8069
-0.1960,0.5561,-1.8060
-0.1993,0.5558,-1.8051
-0.2027,0.5554,-1.8041
-0.2061,0.5551,-1.8032
-0.2095,0.5547,-1.8022
-0.2130,0.5544,-1.8012
-0.2165,0.5540,-1.8002
-0.2201,0.5536,-1.7992
-0.2236,0.5533,-1.7981
-0.2272,0.5529,-1.7971
-0.2308,0.5525,-1.7960
-0.2344,0.5522,-1.7949
-0.2381,0.5518,-1.7937
-0.2417,0.5514,-1.7926
-0.2453,0.5510,-1.7914
-0.2490,0.5506,-1.7902
-0.2526,0.5502,-1.7890
-0.2563,0.5498,-1.7878
-0.2599,0.5494,-1.7865
-0.2636,0.5490,-1.7852
