tr2,cr2,fr2
-0.365,0.615,-1.824
-0.361,0.615,-1.825
-0.358,0.615,-1.826
-0.355,0.614,-1.827
-0.352,0.614,-1.828
-0.349,0.613,-1.829
-0.346,0.613,-1.829
-0.342,0.612,-1.830
-0.339,0.611,-1.831
-0.336,0.611,-1.831
-0.333,0.610,-1.832
-0.330,0.609,-1.832
-0.327,0.608,-1.833
-0.324,0.607,-1.833
-0.321,0.605,-1.834
-0.318,0.604,-1.834
-0.314,0.603,-1.834
-0.311,0.602,-1.834
-0.308,0.601,-1.835
-0.305,0.599,-1.835
-0.302,0.598,-1.835
-0.299,0.597,-1.835
-0.296,0.595,-1.835
-0.298,0.594,-1.835
-0.297,0.593,-1.835
-0.299,0.592,-1.835
-0.303,0.590,-1.835
-0.306,0.589,-1.834
-0.308,0.589,-1.834
-0.310,0.588,-1.833
-0.311,0.587,-1.833
-0.309,0.586,-1.828
-0.308,0.585,-1.823
-0.307,0.584,-1.823
-0.307,0.584,-1.833
-0.307,0.583,-1.832
-0.307,0.582,-1.830
-0.300,0.582,-1.829
-0.302,0.581,-1.828
-0.304,0.569,-1.827
-0.306,0.570,-1.825
-0.308,0.570,-1.824
-0.310,0.571,-1.823
-0.312,0.571,-1.822
-0.315,0.571,-1.820
-0.317,0.571,-1.819
-0.320,0.571,-1.818
-0.322,0.571,-1.816
-0.325,0.571,-1.815
-0.328,0.571,-1.813
-0.331,0.571,-1.812
-0.334,0.571,-1.811
-0.337,0.571,-1.809
-0.339,0.571,-1.808
-0.342,0.570,-1.806
-0.345,0.570,-1.805
-0.348,0.570,-1.803
-0.351,0.569,-1.802
-0.355,0.569,-1.800
-0.358,0.568,-1.799
-0.361,0.568,-1.797
-0.364,0.568,-1.796
-0.367,0.567,-1.794
-0.370,0.567,-1.792
-0.373,0.566,-1.791
-0.376,0.566,-1.789
-0.379,0.565,-1.787
-0.382,0.565,-1.786
-0.385,0.564,-1.784
-0.389,0.563,-1.782
-0.392,0.563,-1.781
-0.395,0.562,-1.779
-0.398,0.562,-1.777
-0.401,0.561,-1.775
-0.404,0.560,-1.773
-0.407,0.560,-1.772
-0.410,0.559,-1.770
-0.413,0.559,-1.768
-0.416,0.558,-1.766
-0.419,0.557,-1.764
-0.423,0.557,-1.762
-0.426,0.556,-1.760
-0.429,0.555,-1.759
-0.432,0.554,-1.757
-0.435,0.554,-1.755
-0.438,0.553,-1.753
-0.441,0.552,-1.751
-0.444,0.552,-1.749
-0.447,0.551,-1.747
-0.450,0.550,-1.745
-0.453,0.549,-1.743
-0.456,0.549,-1.741
-0.459,0.548,-1.739
-0.462,0.547,-1.737
-0.465,0.546,-1.735
-0.468,0.546,-1.733
-0.471,0.545,-1.731
-0.474,0.544,-1.729
-0.477,0.543,-1.726
-0.480,0.542,-1.724
-0.483,0.541,-1.722
-0.485,0.541,-1.720
-0.488,0.540,-1.717
-0.491,0.539,-1.715
-0.494,0.538,-1.713
-0.497,0.537,-1.711
-0.500,0.536,-1.708
-0.503,0.535,-1.706
-0.505,0.534,-1.704
-0.508,0.533,-1.701
-0.511,0.532,-1.699
-0.514,0.532,-1.696
-0.517,0.531,-1.694
-0.519,0.530,-1.692
-0.522,0.529,-1.689
-0.525,0.528,-1.687
-0.528,0.527,-1.684
-0.530,0.526,-1.682
-0.533,0.525,-1.679
-0.536,0.524,-1.677
-0.539,0.523,-1.674
-0.541,0.522,-1.672
-0.544,0.521,-1.669
-0.547,0.520,-1.667
-0.549,0.519,-1.664
-0.552,0.518,-1.662
-0.555,0.516,-1.659
-0.557,0.515,-1.657
-0.560,0.514,-1.654
-0.563,0.513,-1.651
-0.565,0.512,-1.649
-0.568,0.511,-1.646
-0.571,0.510,-1.643
-0.573,0.509,-1.641
-0.576,0.508,-1.638
-0.578,0.507,-1.635
-0.581,0.505,-1.632
-0.584,0.504,-1.630
-0.586,0.503,-1.627
-0.589,0.502,-1.624
-0.591,0.501,-1.621
-0.594,0.500,-1.618
-0.596,0.498,-1.616
-0.599,0.497,-1.613
-0.601,0.496,-1.610
-0.604,0.495,-1.607
-0.606,0.494,-1.604
-0.609,0.492,-1.601
-0.611,0.491,-1.598
-0.614,0.490,-1.595
-0.616,0.488,-1.592
-0.619,0.487,-1.589
