tr,cr,fr,z
-0.455,0.063,-1.002,0.013
-0.453,0.069,-1.009,0.013
-0.452,0.075,-1.016,0.014
-0.450,0.080,-1.022,0.014
-0.448,0.086,-1.029,0.015
-0.446,0.092,-1.036,0.015
-0.445,0.098,-1.043,0.016
-0.443,0.103,-1.050,0.016
-0.441,0.109,-1.056,0.017
-0.439,0.115,-1.063,0.017
-0.438,0.121,-1.069,0.018
-0.436,0.126,-1.076,0.018
-0.434,0.132,-1.082,0.019
-0.433,0.138,-1.089,0.020
-0.431,0.144,-1.095,0.020
-0.430,0.149,-1.102,0.021
-0.428,0.155,-1.108,0.021
-0.426,0.161,-1.114,0.022
-0.425,0.166,-1.120,0.022
-0.423,0.172,-1.126,0.023
-0.421,0.178,-1.132,0.023
-0.420,0.183,-1.138,0.024
-0.418,0.189,-1.144,0.025
-0.416,0.195,-1.150,0.025
-0.415,0.200,-1.156,0.026
-0.413,0.206,-1.162,0.026
-0.411,0.211,-1.168,0.027
-0.410,0.217,-1.174,0.027
-0.408,0.222,-1.179,0.028
-0.407,0.228,-1.185,0.029
-0.405,0.234,-1.191,0.029
-0.404,0.239,-1.196,0.030
-0.402,0.245,-1.202,0.030
-0.400,0.250,-1.207,0.031
-0.399,0.256,-1.213,0.031
-0.397,0.261,-1.218,0.032
-0.396,0.267,-1.224,0.033
-0.394,0.272,-1.229,0.033
-0.393,0.278,-1.234,0.034
-0.391,0.283,-1.239,0.034
-0.390,0.289,-1.245,0.035
-0.388,0.294,-1.250,0.036
-0.387,0.299,-1.255,0.036
-0.385,0.305,-1.260,0.037
-0.383,0.310,-1.265,0.037
-0.381,0.315,-1.270,0.038
-0.380,0.320,-1.275,0.038
-0.378,0.325,-1.280,0.039
-0.376,0.331,-1.285,0.039
-0.374,0.336,-1.290,0.040
-0.372,0.341,-1.295,0.040
-0.370,0.346,-1.299,0.041
-0.368,0.351,-1.304,0.042
-0.366,0.355,-1.309,0.042
-0.364,0.360,-1.314,0.043
-0.362,0.365,-1.318,0.043
-0.360,0.370,-1.323,0.044
-0.358,0.375,-1.328,0.044
-0.356,0.380,-1.332,0.045
-0.354,0.384,-1.337,0.045
-0.352,0.389,-1.341,0.046
-0.350,0.394,-1.346,0.046
-0.348,0.399,-1.350,0.047
-0.346,0.403,-1.355,0.047
-0.344,0.408,-1.359,0.048
-0.341,0.413,-1.363,0.048
-0.339,0.418,-1.368,0.049
-0.337,0.422,-1.372,0.049
-0.335,0.427,-1.376,0.050
-0.333,0.431,-1.380,0.050
-0.331,0.436,-1.385,0.051
-0.329,0.441,-1.389,0.051
-0.326,0.445,-1.393,0.051
-0.324,0.450,-1.397,0.052
-0.322,0.455,-1.401,0.052
-0.320,0.459,-1.405,0.053
-0.318,0.464,-1.409,0.053
-0.315,0.468,-1.413,0.054
-0.313,0.472,-1.417,0.054
-0.311,0.477,-1.421,0.055
-0.308,0.481,-1.425,0.055
-0.306,0.485,-1.428,0.056
-0.304,0.490,-1.432,0.056
-0.301,0.494,-1.436,0.057
-0.299,0.498,-1.440,0.057
-0.297,0.502,-1.443,0.058
-0.294,0.507,-1.447,0.058
-0.292,0.511,-1.451,0.058
-0.289,0.515,-1.454,0.059
-0.287,0.519,-1.458,0.059
-0.284,0.523,-1.461,0.060
-0.282,0.527,-1.465,0.060
-0.279,0.531,-1.468,0.061
-0.277,0.535,-1.472,0.061
-0.274,0.539,-1.475,0.061
-0.272,0.543,-1.478,0.062
-0.269,0.547,-1.482,0.062
-0.267,0.551,-1.485,0.063
-0.264,0.555,-1.488,0.063
-0.262,0.559,-1.492,0.064
-0.259,0.563,-1.495,0.064
-0.257,0.567,-1.498,0.064
-0.254,0.571,-1.501,0.065
-0.252,0.575,-1.504,0.065
-0.249,0.579,-1.507,0.066
-0.246,0.582,-1.510,0.066
-0.244,0.586,-1.513,0.067
-0.241,0.590,-1.516,0.067
-0.238,0.593,-1.519,0.067
-0.236,0.597,-1.522,0.068
-0.233,0.600,-1.525,0.068
-0.230,0.604,-1.528,0.068
-0.227,0.607,-1.531,0.069
