cpg0,cpg1
-0.8342,-0.6685
-0.8376,-0.6659
-0.8406,-0.6634
-0.8440,-0.6568
-0.8471,-0.6509
-0.8498,-0.6455
-0.8523,-0.6407
-0.8545,-0.6364
-0.8565,-0.6325
-0.8584,-0.6289
-0.8600,-0.6258
-0.8614,-0.6229
-0.8628,-0.6204
-0.8639,-0.6138
-0.8650,-0.6079
-0.8659,-0.6026
-0.8668,-0.5978
-0.8676,-0.5935
-0.8683,-0.5896
-0.8689,-0.5861
-0.8694,-0.5829
-0.8699,-0.5801
-0.8704,-0.5776
-0.8708,-0.5753
-0.8709,-0.5689
-0.8711,-0.5632
-0.8712,-0.5581
-0.8713,-0.5535
-0.8713,-0.5493
-0.8714,-0.5456
-0.8715,-0.5422
-0.8716,-0.5392
-0.8716,-0.5365
-0.8717,-0.5340
-0.8717,-0.5318
-0.8714,-0.5253
-0.8712,-0.5195
-0.8710,-0.5142
-0.8708,-0.5095
-0.8706,-0.5052
-0.8704,-0.5014
-0.8703,-0.4980
-0.8701,-0.4949
-0.8700,-0.4921
-0.8699,-0.4896
-0.8698,-0.4873
-0.8694,-0.4802
-0.8689,-0.4739
-0.8686,-0.4682
-0.8682,-0.4631
-0.8679,-0.4584
-0.8677,-0.4543
-0.8674,-0.4505
-0.8672,-0.4472
-0.8670,-0.4441
-0.8668,-0.4414
-0.8667,-0.4389
-0.8661,-0.4308
-0.8656,-0.4236
-0.8651,-0.4170
-0.8647,-0.4111
-0.8644,-0.4058
-0.8640,-0.4010
-0.8637,-0.3967
-0.8635,-0.3928
-0.8632,-0.3893
-0.8630,-0.3862
-0.8623,-0.3761
-0.8616,-0.3670
-0.8611,-0.3588
-0.8605,-0.3514
-0.8601,-0.3448
-0.8597,-0.3388
-0.8593,-0.3334
-0.8589,-0.3286
-0.8586,-0.3242
-0.8584,-0.3203
-0.8581,-0.3168
-0.8572,-0.3041
-0.8564,-0.2926
-0.8557,-0.2824
-0.8551,-0.2731
-0.8545,-0.2648
-0.8540,-0.2573
-0.8535,-0.2505
-0.8531,-0.2445
-0.8527,-0.2390
-0.8524,-0.2341
-0.8512,-0.2167
-0.8501,-0.2011
-0.8492,-0.1870
-0.8483,-0.1743
-0.8475,-0.1629
-0.8468,-0.1527
-0.8462,-0.1434
-0.8456,-0.1351
-0.8451,-0.1277
-0.8446,-0.1209
-0.8442,-0.1149
-0.8425,-0.0915
-0.8411,-0.0706
-0.8397,-0.0517
-0.8385,-0.0347
-0.8374,-0.0194
-0.8364,-0.0056
-0.8356,0.0068
-0.8348,0.0179
-0.8340,0.0280
-0.8334,0.0370
-0.8309,0.0683
-0.8286,0.0965
-0.8265,0.1219
-0.8247,0.1448
-0.8230,0.1653
-0.8215,0.1839
-0.8202,0.2005
-0.8190,0.2155
-0.8179,0.2290
-0.8169,0.2411
-0.8160,0.2521
-0.8122,0.2864
-0.8088,0.3174
-0.8058,0.3452
-0.8030,0.3702
-0.8005,0.3928
-0.7983,0.4131
-0.7963,0.4313
-0.7945,0.4478
-0.7928,0.4626
-0.7914,0.4759
-0.7859,0.5054
-0.7809,0.5320
-0.7765,0.5559
-0.7724,0.5774
-0.7688,0.5968
-0.7656,0.6142
-0.7627,0.6299
-0.7600,0.6440
-0.7577,0.6567
-0.7555,0.6681
-0.7536,0.6784
-0.7470,0.6957
-0.7411,0.7112
-0.7357,0.7251
-0.7309,0.7377
-0.7266,0.7490
-0.7227,0.7592
-0.7192,0.7683
-0.7161,0.7766
-0.7132,0.7840
-0.7107,0.7907
-0.7035,0.7992
-0.6971,0.8069
-0.6913,0.8139
-0.6861,0.8201
-0.6815,0.8257
-0.6772,0.8307
-0.6735,0.8353
-0.6700,0.8394
-0.6670,0.8431
-0.6642,0.8464
-0.6617,0.8494
-0.6549,0.8526
-0.6488,0.8555
-0.6433,0.8582
-0.6384,0.8605
-0.6339,0.8626
-0.6299,0.8646
-0.6263,0.8663
-0.6231,0.8678
-0.6201,0.8692
-0.6175,0.8705
-0.6108,0.8716
-0.6047,0.8725
-0.5992,0.8734
-0.5943,0.8742
-0.5899,0.8749
-0.5859,0.8755
-0.5823,0.8761
-0.5791,0.8766
-0.5762,0.8770
-0.5736,0.8775
-0.5713,0.8778
-0.5647,0.8779
-0.5589,0.8780
-0.5536,0.8781
-0.5489,0.8781
-0.5446,0.8782
-0.5407,0.8783
-0.5373,0.8783
-0.5342,0.8783
