TR0,CR0,FR0
0.8732,0.3556,-1.3212
0.8727,0.3522,-1.3200
0.8722,0.3488,-1.3187
0.8718,0.3455,-1.3175
0.8713,0.3421,-1.3162
0.8707,0.3389,-1.3153
0.8701,0.3360,-1.3147
0.8693,0.3333,-1.3144
0.8685,0.3309,-1.3144
0.8676,0.3285,-1.3146
0.8667,0.3262,-1.3148
0.8658,0.3238,-1.3149
0.8649,0.3215,-1.3151
0.8639,0.3191,-1.3154
0.8630,0.3167,-1.3156
0.8621,0.3143,-1.3158
0.8611,0.3119,-1.3159
0.8601,0.3095,-1.3161
0.8592,0.3071,-1.3163
0.8582,0.3047,-1.3165
0.8572,0.3023,-1.3167
0.8562,0.2998,-1.3168
0.8552,0.2974,-1.3170
0.8544,0.2950,-1.3167
0.8539,0.2926,-1.3160
0.8535,0.2904,-1.3151
0.8530,0.2886,-1.3148
0.8523,0.2872,-1.3151
0.8516,0.2861,-1.3157
0.8507,0.2853,-1.3168
0.8497,0.2847,-1.3183
0.8486,0.2844,-1.3201
0.8474,0.2843,-1.3221
0.8461,0.2844,-1.3245
0.8448,0.2847,-1.3271
0.8434,0.2851,-1.3298
0.8420,0.2856,-1.3328
0.8405,0.2863,-1.3359
0.8389,0.2871,-1.3392
0.8373,0.2879,-1.3426
0.8357,0.2889,-1.3461
0.8340,0.2899,-1.3498
0.8323,0.2910,-1.3535
0.8306,0.2921,-1.3572
0.8288,0.2933,-1.3611
0.8270,0.2945,-1.3650
0.8252,0.2958,-1.3689
0.8233,0.2971,-1.3729
0.8214,0.2985,-1.3770
0.8195,0.2998,-1.3810
0.8176,0.3012,-1.3851
0.8157,0.3026,-1.3892
0.8137,0.3040,-1.3933
0.8118,0.3054,-1.3975
0.8098,0.3068,-1.4016
0.8078,0.3083,-1.4058
0.8058,0.3097,-1.4099
0.8037,0.3112,-1.4141
0.8017,0.3126,-1.4182
0.7996,0.3140,-1.4224
0.7976,0.3155,-1.4265
0.7955,0.3169,-1.4307
0.7934,0.3184,-1.4348
0.7913,0.3198,-1.4389
0.7892,0.3212,-1.4430
0.7870,0.3227,-1.4472
0.7849,0.3241,-1.4512
0.7828,0.3256,-1.4554
0.7807,0.3270,-1.4596
0.7785,0.3285,-1.4637
0.7764,0.3299,-1.4678
0.7742,0.3313,-1.4719
0.7720,0.3327,-1.4760
0.7698,0.3341,-1.4800
0.7676,0.3355,-1.4840
0.7654,0.3369,-1.4880
0.7631,0.3383,-1.4920
0.7609,0.3396,-1.4960
0.7586,0.3409,-1.4999
0.7564,0.3423,-1.5038
0.7541,0.3436,-1.5077
0.7517,0.3448,-1.5115
0.7494,0.3461,-1.5153
0.7470,0.3473,-1.5190
0.7447,0.3485,-1.5228
0.7423,0.3497,-1.5265
0.7399,0.3509,-1.5302
0.7375,0.3521,-1.5339
0.7352,0.3533,-1.5376
0.7328,0.3545,-1.5413
0.7303,0.3557,-1.5449
0.7279,0.3569,-1.5486
0.7255,0.3580,-1.5522
0.7231,0.3592,-1.5558
0.7207,0.3603,-1.5593
0.7189,0.3611,-1.5620
0.7170,0.3620,-1.5648
0.7150,0.3629,-1.5677
0.7130,0.3638,-1.5706
0.7109,0.3648,-1.5735
0.7088,0.3657,-1.5766
0.7066,0.3667,-1.5796
0.7044,0.3676,-1.5827
0.7021,0.3686,-1.5858
0.6998,0.3695,-1.5889
0.6975,0.3705,-1.5920
0.6952,0.3714,-1.5952
0.6928,0.3724,-1.5984
0.6904,0.3734,-1.6015
0.6879,0.3743,-1.6047
0.6855,0.3753,-1.6079
0.6830,0.3762,-1.6111
0.6805,0.3772,-1.6143
0.6779,0.3781,-1.6175
0.6754,0.3790,-1.6206
0.6728,0.3800,-1.6238
0.6702,0.3809,-1.6270
0.6676,0.3818,-1.6301
0.6650,0.3827,-1.6333
0.6624,0.3836,-1.6364
