tr2,cr2,fr2
0.4642,0.3906,-1.2521
0.4661,0.3845,-1.2463
0.4679,0.3784,-1.2405
0.4698,0.3723,-1.2347
0.4716,0.3661,-1.2288
0.4733,0.3598,-1.2229
0.4751,0.3536,-1.2169
0.4768,0.3473,-1.2109
0.4785,0.3410,-1.2049
0.4802,0.3346,-1.1988
0.4819,0.3283,-1.1926
0.4837,0.3219,-1.1864
0.4855,0.3155,-1.1800
0.4873,0.3092,-1.1736
0.4891,0.3028,-1.1672
0.4909,0.2964,-1.1606
0.4928,0.2899,-1.1540
0.4946,0.2835,-1.1473
0.4965,0.2771,-1.1405
0.4984,0.2706,-1.1337
0.5002,0.2640,-1.1269
0.5019,0.2575,-1.1200
0.5036,0.2508,-1.1131
0.5052,0.2442,-1.1062
0.5068,0.2375,-1.0992
0.5084,0.2307,-1.0922
0.5099,0.2239,-1.0852
0.5114,0.2171,-1.0781
0.5129,0.2102,-1.0709
0.5144,0.2033,-1.0637
0.5158,0.1964,-1.0564
0.5172,0.1894,-1.0491
0.5185,0.1824,-1.0419
0.5197,0.1754,-1.0347
0.5209,0.1683,-1.0275
0.5219,0.1613,-1.0203
0.5229,0.1542,-1.0131
0.5239,0.1471,-1.0059
0.5248,0.1400,-0.9988
0.5256,0.1329,-0.9916
0.5264,0.1257,-0.9843
0.5273,0.1185,-0.9769
0.5281,0.1112,-0.9694
0.5290,0.1039,-0.9618
0.5299,0.0965,-0.9540
0.5308,0.0890,-0.9461
0.5318,0.0815,-0.9381
0.5327,0.0740,-0.9300
0.5337,0.0664,-0.9218
0.5346,0.0587,-0.9134
0.5356,0.0510,-0.9049
0.5365,0.0433,-0.8965
0.5372,0.0360,-0.8889
0.5377,0.0288,-0.8815
0.5381,0.0216,-0.8742
0.5384,0.0145,-0.8671
0.5386,0.0073,-0.8597
0.5387,0.0003,-0.8528
0.5387,-0.0066,-0.8460
0.5386,-0.0135,-0.8393
0.5385,-0.0205,-0.8326
0.5384,-0.0275,-0.8256
