TR1,CR1,FR1
0.4291,-0.0789,-0.8928
0.4257,-0.0768,-0.8977
0.4224,-0.0746,-0.9026
0.4190,-0.0725,-0.9074
0.4156,-0.0704,-0.9122
0.4122,-0.0684,-0.9169
0.4088,-0.0663,-0.9215
0.4054,-0.0643,-0.9261
0.4019,-0.0624,-0.9306
0.3985,-0.0604,-0.9351
0.3950,-0.0585,-0.9395
0.3916,-0.0566,-0.9439
0.3881,-0.0548,-0.9482
0.3846,-0.0529,-0.9524
0.3811,-0.0511,-0.9566
0.3776,-0.0493,-0.9608
0.3741,-0.0476,-0.9649
0.3705,-0.0458,-0.9689
0.3670,-0.0441,-0.9729
0.3634,-0.0425,-0.9768
0.3599,-0.0408,-0.9807
0.3563,-0.0392,-0.9846
0.3527,-0.0376,-0.9883
0.3491,-0.0360,-0.9921
0.3455,-0.0345,-0.9957
0.3419,-0.0329,-0.9994
0.3383,-0.0314,-1.0030
0.3347,-0.0299,-1.0065
0.3310,-0.0285,-1.0100
0.3274,-0.0271,-1.0134
0.3237,-0.0256,-1.0168
0.3201,-0.0243,-1.0201
0.3164,-0.0229,-1.0234
0.3127,-0.0216,-1.0266
0.3090,-0.0202,-1.0298
0.3053,-0.0189,-1.0330
0.3016,-0.0177,-1.0361
0.2979,-0.0164,-1.0391
0.2941,-0.0152,-1.0421
0.2904,-0.0140,-1.0451
0.2867,-0.0128,-1.0480
0.2829,-0.0116,-1.0509
0.2792,-0.0105,-1.0537
0.2754,-0.0093,-1.0565
0.2716,-0.0082,-1.0592
0.2678,-0.0071,-1.0619
0.2640,-0.0061,-1.0645
0.2602,-0.0050,-1.0671
0.2564,-0.0040,-1.0697
0.2526,-0.0030,-1.0722
0.2488,-0.0020,-1.0746
0.2450,-0.0010,-1.0771
0.2411,-0.0001,-1.0794
0.2373,0.0008,-1.0818
0.2334,0.0018,-1.0841
0.2296,0.0027,-1.0863
0.2257,0.0035,-1.0886
0.2218,0.0044,-1.0907
0.2180,0.0052,-1.0928
0.2141,0.0061,-1.0949
