tr,cr,fr,z
0.046,0.585,-1.812,0.026
0.049,0.590,-1.815,0.027
0.053,0.595,-1.818,0.027
0.056,0.601,-1.821,0.027
0.060,0.606,-1.823,0.028
0.063,0.611,-1.826,0.028
0.066,0.616,-1.829,0.029
0.070,0.621,-1.831,0.029
0.073,0.626,-1.834,0.029
0.077,0.631,-1.836,0.030
0.080,0.636,-1.839,0.030
0.084,0.641,-1.841,0.031
0.087,0.646,-1.844,0.031
0.091,0.651,-1.846,0.031
0.094,0.656,-1.848,0.032
0.098,0.661,-1.851,0.032
0.101,0.666,-1.853,0.033
0.104,0.671,-1.855,0.033
0.108,0.676,-1.857,0.033
0.111,0.681,-1.859,0.034
0.115,0.685,-1.862,0.034
0.118,0.690,-1.864,0.035
0.122,0.695,-1.866,0.035
0.125,0.700,-1.868,0.035
0.129,0.705,-1.870,0.036
0.132,0.710,-1.872,0.036
0.136,0.715,-1.874,0.037
0.139,0.720,-1.875,0.037
0.143,0.725,-1.877,0.037
0.146,0.729,-1.879,0.038
0.149,0.734,-1.881,0.038
0.153,0.739,-1.883,0.039
0.156,0.744,-1.884,0.039
0.160,0.749,-1.886,0.039
0.163,0.753,-1.888,0.040
0.167,0.758,-1.889,0.040
0.170,0.763,-1.891,0.041
0.173,0.768,-1.892,0.041
0.177,0.773,-1.894,0.041
0.180,0.778,-1.895,0.042
0.183,0.782,-1.897,0.042
0.186,0.787,-1.898,0.043
0.190,0.792,-1.900,0.043
0.193,0.797,-1.901,0.043
0.196,0.802,-1.903,0.044
0.199,0.807,-1.904,0.044
0.202,0.812,-1.905,0.045
0.205,0.817,-1.907,0.045
0.208,0.822,-1.908,0.046
0.211,0.827,-1.909,0.046
0.214,0.832,-1.911,0.047
0.217,0.837,-1.912,0.047
0.221,0.842,-1.913,0.047
0.224,0.847,-1.914,0.048
0.226,0.852,-1.915,0.048
0.229,0.857,-1.916,0.049
0.232,0.862,-1.918,0.049
0.235,0.867,-1.919,0.050
0.238,0.872,-1.920,0.050
0.241,0.877,-1.920,0.051
0.244,0.882,-1.921,0.051
0.247,0.886,-1.922,0.051
0.250,0.891,-1.923,0.052
0.253,0.896,-1.924,0.052
0.256,0.901,-1.925,0.053
0.259,0.906,-1.925,0.053
0.262,0.910,-1.926,0.054
0.265,0.915,-1.927,0.054
0.268,0.920,-1.927,0.055
