tr,cr,fr,z
-0.739,0.814,-1.586,0.080
-0.737,0.817,-1.590,0.080
-0.735,0.820,-1.594,0.080
-0.733,0.822,-1.598,0.080
-0.731,0.825,-1.602,0.080
-0.729,0.828,-1.606,0.080
-0.727,0.830,-1.610,0.080
-0.725,0.833,-1.614,0.080
-0.723,0.835,-1.618,0.080
-0.721,0.838,-1.622,0.080
-0.719,0.840,-1.626,0.080
-0.717,0.843,-1.630,0.080
-0.715,0.845,-1.634,0.080
-0.713,0.848,-1.638,0.080
-0.711,0.850,-1.641,0.080
-0.709,0.853,-1.645,0.080
-0.707,0.855,-1.649,0.080
-0.705,0.858,-1.653,0.080
-0.703,0.860,-1.657,0.080
-0.701,0.862,-1.660,0.081
-0.698,0.865,-1.664,0.081
-0.696,0.867,-1.668,0.081
-0.694,0.869,-1.672,0.081
-0.692,0.872,-1.675,0.081
-0.690,0.874,-1.679,0.081
-0.688,0.876,-1.683,0.081
-0.686,0.879,-1.686,0.081
-0.683,0.881,-1.690,0.081
-0.681,0.883,-1.693,0.081
-0.679,0.886,-1.697,0.081
-0.677,0.888,-1.701,0.081
-0.675,0.890,-1.704,0.081
-0.672,0.892,-1.708,0.081
-0.670,0.894,-1.711,0.081
-0.668,0.896,-1.715,0.081
-0.666,0.898,-1.718,0.081
-0.664,0.900,-1.721,0.081
-0.662,0.902,-1.724,0.080
-0.659,0.903,-1.728,0.080
-0.657,0.905,-1.731,0.080
-0.655,0.906,-1.734,0.080
-0.653,0.907,-1.737,0.080
-0.651,0.908,-1.740,0.080
-0.648,0.910,-1.743,0.080
-0.646,0.911,-1.746,0.080
-0.644,0.912,-1.749,0.079
-0.642,0.913,-1.751,0.079
-0.640,0.914,-1.754,0.079
-0.637,0.915,-1.757,0.079
-0.635,0.915,-1.760,0.079
-0.633,0.916,-1.763,0.078
-0.631,0.917,-1.765,0.078
-0.628,0.918,-1.768,0.078
-0.626,0.919,-1.771,0.078
-0.624,0.919,-1.773,0.078
-0.622,0.920,-1.776,0.077
-0.620,0.921,-1.778,0.077
-0.617,0.921,-1.781,0.077
-0.615,0.922,-1.784,0.077
-0.613,0.922,-1.786,0.077
-0.610,0.923,-1.789,0.076
-0.608,0.924,-1.791,0.076
-0.606,0.924,-1.794,0.076
-0.604,0.925,-1.796,0.076
-0.601,0.925,-1.799,0.076
-0.599,0.925,-1.801,0.075
-0.597,0.926,-1.804,0.075
-0.594,0.926,-1.806,0.075
-0.592,0.927,-1.808,0.075
-0.590,0.927,-1.811,0.075
-0.587,0.928,-1.813,0.074
-0.585,0.928,-1.816,0.074
-0.582,0.929,-1.818,0.074
-0.580,0.929,-1.820,0.074
-0.578,0.930,-1.823,0.074
-0.575,0.930,-1.825,0.073
-0.573,0.931,-1.828,0.073
-0.570,0.931,-1.830,0.073
-0.568,0.932,-1.832,0.073
-0.565,0.933,-1.835,0.073
-0.563,0.933,-1.837,0.072
-0.561,0.934,-1.839,0.072
-0.558,0.934,-1.842,0.072
-0.556,0.935,-1.844,0.072
-0.553,0.935,-1.846,0.072
-0.551,0.936,-1.848,0.071
-0.548,0.936,-1.851,0.071
-0.545,0.936,-1.853,0.071
-0.543,0.937,-1.855,0.071
-0.540,0.937,-1.857,0.071
-0.538,0.938,-1.860,0.071
-0.535,0.938,-1.862,0.070
-0.533,0.938,-1.864,0.070
-0.530,0.938,-1.866,0.070
-0.528,0.938,-1.868,0.070
-0.525,0.938,-1.869,0.069
-0.523,0.938,-1.871,0.069
-0.520,0.937,-1.873,0.069
-0.518,0.937,-1.874,0.069
-0.516,0.936,-1.876,0.068
-0.513,0.936,-1.877,0.068
-0.511,0.935,-1.879,0.068
-0.509,0.934,-1.880,0.067
-0.506,0.933,-1.882,0.067
-0.504,0.932,-1.883,0.067
-0.502,0.931,-1.884,0.066
-0.499,0.930,-1.885,0.066
-0.497,0.929,-1.887,0.066
-0.495,0.928,-1.888,0.065
-0.492,0.927,-1.889,0.065
-0.490,0.926,-1.890,0.065
-0.488,0.924,-1.891,0.064
-0.485,0.923,-1.892,0.064
-0.483,0.922,-1.893,0.063
-0.481,0.920,-1.894,0.063
-0.478,0.919,-1.895,0.063
-0.476,0.917,-1.896,0.062
-0.474,0.915,-1.896,0.062
-0.472,0.914,-1.897,0.061
-0.470,0.912,-1.898,0.061
-0.467,0.910,-1.898,0.061
-0.465,0.908,-1.899,0.060
-0.463,0.906,-1.900,0.060
-0.461,0.904,-1.900,0.059
-0.459,0.902,-1.901,0.059
-0.456,0.900,-1.901,0.058
-0.454,0.898,-1.902,0.058
-0.452,0.896,-1.902,0.058
-0.450,0.894,-1.902,0.057
-0.448,0.892,-1.903,0.057
-0.445,0.890,-1.903,0.056
-0.443,0.888,-1.904,0.056
-0.441,0.886,-1.904,0.055
-0.439,0.883,-1.904,0.055
-0.437,0.881,-1.904,0.054
-0.434,0.879,-1.905,0.054
-0.432,0.877,-1.905,0.054
-0.430,0.874,-1.905,0.053
-0.428,0.872,-1.905,0.053
-0.426,0.870,-1.905,0.052
-0.423,0.867,-1.906,0.052
-0.421,0.865,-1.906,0.051
-0.419,0.862,-1.906,0.051
-0.417,0.860,-1.906,0.050
-0.415,0.857,-1.905,0.050
-0.413,0.855,-1.905,0.049
-0.411,0.852,-1.905,0.049
-0.408,0.849,-1.905,0.048
-0.406,0.847,-1.905,0.048
-0.404,0.844,-1.905,0.047
-0.402,0.841,-1.904,0.047
-0.400,0.838,-1.904,0.046
-0.398,0.835,-1.904,0.046
-0.396,0.833,-1.903,0.045
-0.394,0.830,-1.903,0.045
-0.392,0.827,-1.903,0.044
-0.390,0.824,-1.902,0.044
-0.388,0.821,-1.902,0.043
-0.386,0.818,-1.901,0.043
-0.384,0.815,-1.901,0.042
-0.382,0.812,-1.900,0.042
-0.380,0.809,-1.900,0.041
-0.377,0.806,-1.899,0.041
-0.375,0.803,-1.899,0.040
-0.373,0.800,-1.898,0.040
-0.371,0.797,-1.897,0.039
-0.369,0.794,-1.897,0.039
-0.367,0.791,-1.896,0.038
-0.365,0.788,-1.895,0.038
-0.363,0.785,-1.895,0.037
-0.361,0.781,-1.894,0.037
-0.359,0.778,-1.893,0.036
-0.357,0.775,-1.893,0.036
-0.355,0.772,-1.892,0.035
-0.352,0.769,-1.891,0.035
-0.350,0.766,-1.890,0.034
-0.348,0.763,-1.890,0.034
-0.346,0.759,-1.889,0.033
-0.344,0.756,-1.888,0.033
-0.342,0.753,-1.887,0.032
-0.340,0.750,-1.886,0.032
-0.338,0.747,-1.885,0.031
-0.336,0.743,-1.884,0.031
-0.333,0.740,-1.883,0.030
-0.331,0.737,-1.882,0.030
-0.329,0.734,-1.881,0.029
-0.327,0.730,-1.880,0.029
-0.325,0.727,-1.879,0.028
-0.323,0.723,-1.878,0.028
-0.321,0.720,-1.877,0.027
-0.319,0.716,-1.876,0.026
-0.317,0.713,-1.874,0.026
-0.315,0.709,-1.873,0.025
-0.313,0.706,-1.872,0.025
-0.311,0.702,-1.870,0.024
-0.310,0.698,-1.869,0.024
-0.308,0.694,-1.868,0.023
-0.306,0.691,-1.866,0.023
-0.304,0.687,-1.865,0.022
-0.302,0.683,-1.863,0.022
-0.300,0.679,-1.861,0.021
-0.299,0.675,-1.860,0.020
-0.297,0.671,-1.858,0.020
-0.296,0.667,-1.856,0.019
-0.294,0.663,-1.854,0.019
-0.293,0.659,-1.852,0.018
-0.292,0.654,-1.850,0.017
-0.291,0.650,-1.847,0.017
-0.290,0.645,-1.845,0.016
-0.289,0.641,-1.843,0.015
-0.288,0.636,-1.840,0.015
-0.287,0.632,-1.838,0.014
-0.287,0.627,-1.835,0.014
-0.286,0.622,-1.832,0.013
-0.286,0.618,-1.830,0.012
-0.285,0.613,-1.827,0.012
-0.285,0.608,-1.824,0.011
-0.284,0.603,-1.821,0.010
-0.284,0.598,-1.818,0.010
-0.283,0.594,-1.816,0.009
-0.283,0.589,-1.813,0.008
-0.283,0.584,-1.810,0.008
-0.282,0.579,-1.807,0.007
-0.282,0.575,-1.804,0.006
-0.281,0.571,-1.802,0.006
-0.280,0.567,-1.799,0.005
-0.280,0.562,-1.797,0.005
-0.279,0.558,-1.794,0.004
-0.279,0.554,-1.792,0.003
-0.279,0.551,-1.790,0.003
-0.279,0.549,-1.788,0.003
-0.279,0.547,-1.787,0.002
-0.279,0.546,-1.786,0.002
-0.280,0.545,-1.785,0.002
-0.281,0.544,-1.785,0.002
-0.282,0.543,-1.784,0.002
-0.283,0.543,-1.783,0.002
-0.284,0.543,-1.783,0.002
-0.286,0.543,-1.782,0.002
-0.287,0.543,-1.782,0.002
-0.289,0.542,-1.781,0.002
-0.290,0.541,-1.780,0.002
-0.292,0.540,-1.779,0.002
-0.294,0.539,-1.777,0.002
-0.296,0.537,-1.775,0.001
