tr,cr,fr,z
-0.866,0.172,-0.955,0.001
-0.867,0.168,-0.949,0.001
-0.869,0.165,-0.943,0.001
-0.870,0.162,-0.936,0.001
-0.872,0.158,-0.930,0.001
-0.873,0.155,-0.923,0.001
-0.875,0.151,-0.916,0.001
-0.876,0.147,-0.909,0.001
-0.877,0.143,-0.902,0.000
-0.879,0.139,-0.895,0.000
-0.880,0.135,-0.888,0.000
-0.882,0.131,-0.881,0.000
-0.883,0.127,-0.873,0.000
-0.885,0.122,-0.866,0.000
-0.886,0.118,-0.858,0.000
-0.887,0.114,-0.851,0.000
-0.889,0.109,-0.843,0.000
-0.890,0.105,-0.835,0.000
-0.892,0.100,-0.827,0.000
-0.893,0.096,-0.819,0.000
-0.894,0.092,-0.812,0.000
-0.896,0.088,-0.805,0.000
-0.897,0.084,-0.798,0.000
-0.898,0.081,-0.791,0.000
-0.900,0.077,-0.784,0.000
-0.901,0.074,-0.777,0.000
-0.902,0.070,-0.769,0.000
-0.904,0.066,-0.762,0.000
-0.905,0.062,-0.755,0.000
-0.906,0.059,-0.748,0.000
-0.907,0.055,-0.740,0.000
-0.909,0.051,-0.733,0.000
-0.910,0.047,-0.725,0.000
-0.911,0.042,-0.716,0.000
-0.913,0.038,-0.708,0.000
-0.914,0.033,-0.699,0.000
-0.915,0.028,-0.691,0.000
-0.916,0.025,-0.684,0.000
-0.917,0.022,-0.678,0.001
-0.918,0.019,-0.673,0.001
-0.919,0.018,-0.668,0.001
-0.920,0.017,-0.664,0.001
-0.920,0.016,-0.662,0.002
-0.921,0.016,-0.660,0.002
-0.921,0.017,-0.660,0.002
-0.922,0.019,-0.660,0.003
-0.922,0.021,-0.661,0.003
-0.922,0.024,-0.663,0.004
-0.922,0.027,-0.666,0.004
-0.922,0.030,-0.669,0.004
-0.922,0.034,-0.673,0.005
-0.922,0.038,-0.677,0.005
-0.922,0.042,-0.682,0.006
-0.922,0.047,-0.687,0.006
-0.921,0.051,-0.692,0.007
-0.921,0.056,-0.698,0.008
-0.921,0.061,-0.704,0.008
-0.920,0.066,-0.710,0.009
-0.920,0.072,-0.716,0.009
-0.920,0.077,-0.722,0.010
-0.919,0.083,-0.728,0.010
-0.919,0.088,-0.735,0.011
-0.918,0.094,-0.741,0.011
-0.918,0.099,-0.748,0.012
-0.917,0.105,-0.755,0.013
-0.917,0.111,-0.761,0.013
-0.916,0.116,-0.768,0.014
-0.916,0.122,-0.775,0.014
-0.915,0.128,-0.781,0.015
-0.915,0.134,-0.788,0.016
-0.914,0.139,-0.795,0.016
-0.914,0.145,-0.801,0.017
-0.913,0.150,-0.807,0.017
-0.913,0.155,-0.813,0.018
-0.912,0.161,-0.818,0.019
-0.912,0.166,-0.824,0.019
-0.912,0.171,-0.829,0.020
-0.911,0.176,-0.834,0.021
-0.911,0.181,-0.839,0.021
-0.911,0.186,-0.844,0.022
-0.910,0.191,-0.848,0.023
-0.910,0.195,-0.853,0.023
-0.910,0.200,-0.858,0.024
-0.910,0.205,-0.862,0.025
-0.910,0.210,-0.866,0.025
-0.909,0.214,-0.871,0.026
-0.909,0.219,-0.875,0.027
-0.909,0.223,-0.879,0.027
-0.909,0.228,-0.883,0.028
-0.909,0.232,-0.887,0.029
-0.908,0.237,-0.891,0.029
-0.908,0.241,-0.895,0.030
-0.908,0.246,-0.898,0.031
-0.908,0.250,-0.902,0.031
-0.908,0.255,-0.906,0.032
-0.908,0.259,-0.909,0.033
-0.907,0.263,-0.913,0.033
-0.907,0.268,-0.917,0.034
-0.907,0.272,-0.920,0.035
-0.907,0.276,-0.924,0.035
-0.907,0.280,-0.927,0.036
-0.907,0.285,-0.930,0.037
-0.907,0.289,-0.934,0.037
-0.906,0.293,-0.937,0.038
-0.906,0.298,-0.941,0.039
-0.906,0.302,-0.945,0.039
-0.906,0.307,-0.949,0.040
-0.905,0.311,-0.954,0.041
-0.905,0.316,-0.958,0.041
-0.904,0.321,-0.962,0.042
-0.904,0.326,-0.967,0.043
-0.903,0.330,-0.972,0.043
-0.903,0.335,-0.977,0.044
-0.902,0.340,-0.981,0.044
-0.902,0.345,-0.986,0.045
-0.901,0.350,-0.991,0.046
-0.901,0.355,-0.996,0.046
-0.900,0.360,-1.001,0.047
-0.899,0.365,-1.006,0.048
-0.899,0.370,-1.011,0.048
-0.898,0.375,-1.016,0.049
-0.897,0.380,-1.021,0.049
-0.897,0.384,-1.026,0.050
-0.896,0.389,-1.031,0.051
-0.895,0.394,-1.036,0.051
-0.895,0.399,-1.041,0.052
-0.894,0.404,-1.046,0.052
-0.893,0.409,-1.051,0.053
-0.893,0.414,-1.056,0.054
-0.892,0.419,-1.061,0.054
-0.891,0.424,-1.066,0.055
-0.891,0.429,-1.070,0.055
-0.890,0.434,-1.075,0.056
-0.889,0.438,-1.080,0.057
-0.888,0.443,-1.085,0.057
-0.888,0.448,-1.090,0.058
-0.887,0.453,-1.095,0.058
-0.886,0.458,-1.099,0.059
-0.885,0.463,-1.104,0.059
-0.885,0.467,-1.109,0.060
-0.884,0.472,-1.115,0.060
-0.883,0.477,-1.120,0.061
-0.882,0.481,-1.125,0.061
-0.881,0.486,-1.131,0.062
-0.879,0.491,-1.136,0.062
-0.878,0.495,-1.141,0.063
-0.877,0.500,-1.147,0.063
-0.876,0.504,-1.153,0.063
-0.875,0.509,-1.158,0.064
-0.874,0.513,-1.164,0.064
-0.872,0.518,-1.169,0.064
-0.871,0.522,-1.175,0.065
-0.870,0.526,-1.181,0.065
-0.869,0.531,-1.186,0.065
-0.867,0.535,-1.192,0.065
-0.866,0.539,-1.198,0.066
-0.865,0.544,-1.203,0.066
-0.863,0.548,-1.209,0.066
-0.862,0.552,-1.215,0.067
-0.860,0.557,-1.220,0.067
-0.859,0.561,-1.226,0.067
-0.858,0.565,-1.232,0.067
-0.856,0.569,-1.237,0.068
-0.855,0.573,-1.243,0.068
-0.853,0.578,-1.248,0.068
-0.852,0.582,-1.254,0.068
-0.851,0.586,-1.259,0.069
-0.849,0.590,-1.265,0.069
-0.848,0.594,-1.270,0.069
-0.846,0.598,-1.276,0.069
-0.845,0.602,-1.281,0.070
-0.843,0.606,-1.286,0.070
-0.842,0.610,-1.292,0.070
-0.840,0.614,-1.297,0.070
-0.839,0.618,-1.303,0.070
-0.837,0.622,-1.308,0.071
-0.836,0.626,-1.313,0.071
-0.834,0.630,-1.318,0.071
-0.833,0.634,-1.324,0.071
-0.831,0.638,-1.329,0.071
-0.829,0.641,-1.334,0.072
