tr,cr,fr,z
-0.288,0.032,-1.08,0
-0.29,0.031,-1.078,0
-0.293,0.03,-1.076,0
-0.296,0.029,-1.074,0
-0.299,0.028,-1.071,0
-0.302,0.027,-1.069,0
-0.304,0.026,-1.067,0
-0.307,0.025,-1.064,0
-0.31,0.024,-1.062,0
-0.313,0.023,-1.059,0
-0.316,0.022,-1.057,0
-0.319,0.021,-1.054,0
-0.322,0.02,-1.051,0
-0.325,0.018,-1.049,0
-0.328,0.017,-1.046,0
-0.331,0.016,-1.043,0
-0.334,0.015,-1.04,0
-0.337,0.014,-1.037,0
-0.34,0.012,-1.034,0
-0.343,0.011,-1.031,0
-0.346,0.01,-1.028,0
-0.349,0.009,-1.025,0
-0.352,0.007,-1.022,0
-0.355,0.006,-1.019,0
-0.358,0.004,-1.016,0
-0.361,0.003,-1.013,0
-0.364,0.002,-1.009,0
-0.367,0,-1.006,0
-0.37,-0.001,-1.003,0
-0.373,-0.003,-0.999,0
-0.376,-0.004,-0.996,0
-0.379,-0.006,-0.993,0
-0.382,-0.007,-0.989,0
-0.385,-0.009,-0.985,0
-0.388,-0.01,-0.982,0
-0.391,-0.012,-0.978,0
-0.394,-0.014,-0.975,0
-0.397,-0.015,-0.971,0
-0.4,-0.017,-0.967,0
-0.403,-0.019,-0.963,0
-0.406,-0.02,-0.959,0
-0.408,-0.022,-0.956,0
-0.411,-0.024,-0.952,0
-0.414,-0.025,-0.948,0
-0.417,-0.027,-0.944,0
-0.42,-0.029,-0.94,0
-0.423,-0.031,-0.935,0
-0.426,-0.033,-0.931,0
-0.429,-0.035,-0.927,0
-0.432,-0.037,-0.923,0
-0.434,-0.038,-0.919,0
-0.437,-0.04,-0.915,0
-0.438,-0.041,-0.912,0
-0.44,-0.042,-0.91,0
-0.441,-0.043,-0.909,0
-0.442,-0.044,-0.907,0
-0.444,-0.045,-0.904,0
-0.445,-0.046,-0.902,0
-0.447,-0.047,-0.899,0
-0.449,-0.049,-0.896,0
-0.45,-0.05,-0.893,0
-0.452,-0.051,-0.89,0
-0.454,-0.053,-0.887,0
-0.457,-0.055,-0.883,0
-0.459,-0.056,-0.879,0
-0.461,-0.058,-0.875,0
-0.463,-0.06,-0.871,0
-0.466,-0.062,-0.867,0
-0.468,-0.064,-0.863,0
-0.47,-0.066,-0.859,0
-0.473,-0.068,-0.854,0
-0.475,-0.07,-0.85,0
-0.478,-0.072,-0.845,0
-0.48,-0.074,-0.84,0
-0.483,-0.077,-0.836,0
-0.485,-0.079,-0.831,0
-0.488,-0.081,-0.826,0
-0.491,-0.084,-0.821,0
-0.493,-0.086,-0.815,0
-0.496,-0.088,-0.81,0
-0.498,-0.091,-0.805,0
-0.501,-0.093,-0.8,0
-0.503,-0.096,-0.795,0
-0.505,-0.098,-0.791,0
-0.507,-0.099,-0.787,0
-0.508,-0.101,-0.783,0
-0.509,-0.102,-0.781,0
-0.51,-0.103,-0.778,0
-0.512,-0.105,-0.776,0
-0.513,-0.106,-0.773,0
-0.514,-0.107,-0.771,0
-0.514,-0.108,-0.769,0
-0.515,-0.108,-0.769,0
-0.515,-0.108,-0.769,0
-0.515,-0.107,-0.77,0
