tr,cr,fr,z
-0.864,0.169,-0.954,0.000
-0.866,0.165,-0.947,0.000
-0.868,0.161,-0.940,0.000
-0.869,0.157,-0.933,0.000
-0.871,0.153,-0.925,0.000
-0.873,0.149,-0.918,0.000
-0.874,0.145,-0.910,0.000
-0.876,0.141,-0.903,0.000
-0.877,0.137,-0.895,0.000
-0.879,0.133,-0.887,0.000
-0.881,0.129,-0.880,0.000
-0.882,0.125,-0.872,0.000
-0.884,0.121,-0.864,0.000
-0.886,0.116,-0.856,0.000
-0.887,0.112,-0.848,0.000
-0.889,0.108,-0.839,0.000
-0.890,0.103,-0.831,0.000
-0.892,0.099,-0.823,0.000
-0.893,0.094,-0.814,0.000
-0.895,0.089,-0.806,0.000
-0.897,0.085,-0.797,0.000
-0.898,0.080,-0.788,0.000
-0.900,0.075,-0.779,0.000
-0.901,0.070,-0.770,0.000
-0.903,0.065,-0.761,0.000
-0.904,0.060,-0.752,0.000
-0.906,0.055,-0.743,0.000
-0.907,0.050,-0.733,0.000
-0.909,0.045,-0.723,0.000
-0.910,0.039,-0.714,0.000
-0.912,0.034,-0.704,0.000
-0.913,0.029,-0.694,0.000
-0.915,0.025,-0.686,0.000
-0.916,0.021,-0.679,0.000
-0.917,0.018,-0.672,0.000
-0.918,0.016,-0.666,0.001
-0.919,0.014,-0.661,0.001
-0.920,0.013,-0.656,0.001
-0.921,0.012,-0.652,0.002
-0.922,0.011,-0.649,0.002
-0.923,0.011,-0.646,0.003
-0.924,0.011,-0.643,0.003
-0.925,0.011,-0.640,0.004
-0.926,0.012,-0.638,0.004
-0.926,0.012,-0.636,0.005
-0.927,0.013,-0.634,0.005
-0.928,0.014,-0.633,0.006
-0.929,0.016,-0.632,0.006
-0.929,0.017,-0.631,0.007
-0.930,0.019,-0.630,0.008
-0.930,0.021,-0.630,0.008
-0.931,0.023,-0.632,0.009
-0.931,0.026,-0.634,0.009
-0.931,0.028,-0.636,0.009
-0.931,0.031,-0.640,0.010
-0.931,0.034,-0.644,0.010
-0.930,0.038,-0.648,0.010
-0.930,0.041,-0.653,0.010
-0.929,0.044,-0.657,0.011
-0.929,0.046,-0.660,0.011
-0.929,0.048,-0.661,0.011
-0.929,0.050,-0.662,0.012
-0.930,0.051,-0.663,0.012
-0.930,0.052,-0.663,0.012
-0.930,0.053,-0.662,0.012
-0.931,0.053,-0.660,0.013
-0.931,0.052,-0.657,0.013
-0.932,0.051,-0.654,0.013
-0.933,0.049,-0.650,0.014
-0.933,0.049,-0.648,0.014
-0.934,0.050,-0.647,0.014
-0.934,0.051,-0.647,0.014
-0.934,0.053,-0.648,0.015
-0.934,0.056,-0.650,0.015
-0.934,0.059,-0.653,0.016
-0.934,0.062,-0.657,0.016
-0.934,0.066,-0.661,0.017
-0.934,0.070,-0.665,0.017
-0.933,0.075,-0.670,0.018
-0.933,0.080,-0.676,0.018
-0.933,0.085,-0.682,0.019
-0.932,0.090,-0.688,0.019
-0.932,0.095,-0.693,0.020
-0.932,0.100,-0.699,0.021
-0.932,0.105,-0.704,0.021
-0.931,0.110,-0.709,0.022
-0.931,0.115,-0.714,0.022
-0.931,0.119,-0.718,0.023
-0.931,0.124,-0.723,0.024
-0.931,0.129,-0.727,0.024
-0.931,0.133,-0.731,0.025
-0.931,0.138,-0.735,0.026
-0.931,0.142,-0.739,0.026
-0.931,0.147,-0.743,0.027
-0.931,0.151,-0.746,0.028
-0.931,0.156,-0.750,0.029
-0.931,0.160,-0.753,0.029
-0.931,0.164,-0.756,0.030
-0.931,0.168,-0.760,0.031
-0.931,0.173,-0.763,0.032
-0.931,0.177,-0.766,0.032
-0.931,0.181,-0.769,0.033
-0.931,0.185,-0.772,0.034
-0.931,0.189,-0.774,0.034
-0.931,0.193,-0.777,0.035
-0.931,0.197,-0.779,0.036
-0.932,0.200,-0.782,0.037
-0.932,0.204,-0.784,0.037
-0.932,0.208,-0.786,0.038
-0.932,0.212,-0.789,0.039
-0.932,0.215,-0.791,0.040
-0.932,0.219,-0.793,0.040
-0.932,0.223,-0.795,0.041
-0.933,0.226,-0.797,0.042
-0.933,0.230,-0.799,0.043
-0.933,0.233,-0.800,0.043
-0.933,0.237,-0.802,0.044
-0.933,0.240,-0.804,0.045
-0.933,0.244,-0.806,0.046
-0.933,0.248,-0.809,0.046
-0.933,0.252,-0.812,0.047
-0.933,0.256,-0.815,0.048
-0.933,0.261,-0.819,0.049
-0.933,0.266,-0.823,0.049
-0.933,0.270,-0.827,0.050
-0.933,0.275,-0.831,0.051
-0.932,0.280,-0.836,0.051
-0.932,0.285,-0.840,0.052
-0.932,0.290,-0.845,0.053
-0.931,0.295,-0.849,0.054
-0.931,0.300,-0.854,0.054
-0.930,0.306,-0.859,0.055
-0.930,0.311,-0.864,0.056
-0.929,0.316,-0.869,0.056
-0.929,0.322,-0.875,0.057
-0.928,0.327,-0.880,0.058
-0.928,0.333,-0.886,0.059
-0.927,0.338,-0.892,0.059
-0.926,0.344,-0.898,0.060
-0.926,0.349,-0.904,0.060
-0.925,0.355,-0.910,0.061
-0.924,0.361,-0.916,0.062
-0.923,0.367,-0.923,0.062
-0.922,0.372,-0.929,0.063
-0.922,0.378,-0.935,0.064
-0.921,0.384,-0.942,0.064
-0.920,0.390,-0.949,0.065
-0.919,0.395,-0.956,0.065
-0.918,0.401,-0.962,0.066
-0.917,0.407,-0.969,0.066
-0.916,0.413,-0.976,0.067
-0.914,0.418,-0.983,0.067
-0.913,0.424,-0.991,0.068
-0.912,0.429,-0.998,0.068
-0.911,0.435,-1.005,0.068
-0.910,0.440,-1.013,0.069
-0.908,0.446,-1.020,0.069
-0.907,0.451,-1.027,0.069
-0.906,0.456,-1.034,0.069
-0.904,0.461,-1.042,0.070
-0.903,0.466,-1.049,0.070
-0.902,0.471,-1.056,0.070
-0.900,0.475,-1.063,0.070
-0.899,0.479,-1.069,0.070
-0.897,0.483,-1.076,0.070
-0.896,0.486,-1.082,0.070
-0.895,0.490,-1.088,0.070
-0.893,0.493,-1.094,0.070
-0.892,0.496,-1.100,0.070
-0.891,0.499,-1.106,0.070
-0.889,0.502,-1.111,0.069
-0.888,0.504,-1.117,0.069
-0.886,0.506,-1.122,0.069
-0.885,0.509,-1.127,0.069
-0.884,0.511,-1.133,0.069
-0.882,0.513,-1.138,0.068
-0.881,0.515,-1.143,0.068
-0.879,0.517,-1.148,0.068
-0.878,0.519,-1.153,0.067
-0.877,0.521,-1.158,0.067
-0.875,0.523,-1.163,0.067
-0.874,0.525,-1.168,0.067
-0.872,0.527,-1.173,0.066
-0.871,0.529,-1.178,0.066
-0.869,0.531,-1.183,0.066
-0.868,0.533,-1.189,0.065
-0.866,0.535,-1.194,0.065
-0.865,0.537,-1.199,0.065
-0.863,0.539,-1.204,0.065
-0.862,0.541,-1.209,0.064
-0.860,0.543,-1.214,0.064
-0.858,0.545,-1.219,0.064
-0.857,0.547,-1.224,0.064
-0.855,0.548,-1.229,0.063
-0.854,0.550,-1.233,0.063
-0.852,0.552,-1.238,0.063
-0.851,0.554,-1.243,0.062
-0.849,0.556,-1.248,0.062
-0.847,0.557,-1.253,0.062
-0.846,0.559,-1.257,0.062
-0.844,0.561,-1.262,0.061
-0.843,0.562,-1.267,0.061
-0.841,0.564,-1.271,0.061
-0.839,0.565,-1.276,0.060
-0.838,0.566,-1.280,0.060
-0.836,0.568,-1.284,0.060
-0.835,0.569,-1.289,0.059
-0.833,0.570,-1.293,0.059
-0.831,0.571,-1.297,0.059
-0.830,0.573,-1.301,0.058
-0.828,0.574,-1.305,0.058
-0.827,0.575,-1.309,0.058
-0.825,0.576,-1.314,0.057
-0.823,0.577,-1.318,0.057
-0.822,0.578,-1.322,0.057
-0.820,0.579,-1.326,0.056
-0.819,0.580,-1.330,0.056
-0.817,0.581,-1.333,0.056
-0.815,0.582,-1.337,0.055
-0.814,0.583,-1.341,0.055
-0.812,0.583,-1.345,0.055
-0.810,0.584,-1.349,0.054
-0.809,0.585,-1.353,0.054
-0.807,0.586,-1.357,0.054
-0.805,0.587,-1.360,0.053
-0.803,0.588,-1.364,0.053
-0.802,0.589,-1.368,0.053
-0.800,0.590,-1.372,0.052
-0.798,0.591,-1.376,0.052
-0.796,0.592,-1.380,0.052
-0.795,0.593,-1.384,0.051
-0.793,0.594,-1.387,0.051
-0.791,0.595,-1.391,0.051
-0.789,0.596,-1.395,0.051
-0.788,0.597,-1.399,0.050
-0.786,0.598,-1.403,0.050
-0.784,0.599,-1.406,0.050
-0.782,0.599,-1.410,0.049
-0.780,0.600,-1.414,0.049
-0.778,0.601,-1.417,0.049
-0.777,0.602,-1.421,0.048
-0.775,0.603,-1.425,0.048
-0.773,0.604,-1.428,0.048
-0.771,0.605,-1.432,0.048
-0.769,0.606,-1.436,0.047
-0.767,0.606,-1.439,0.047
-0.765,0.607,-1.443,0.047
-0.763,0.608,-1.446,0.046
-0.761,0.609,-1.450,0.046
-0.759,0.610,-1.453,0.046
-0.758,0.610,-1.457,0.046
-0.756,0.611,-1.460,0.045
-0.754,0.612,-1.464,0.045
-0.752,0.613,-1.467,0.045
-0.750,0.613,-1.471,0.044
-0.748,0.614,-1.474,0.044
-0.746,0.615,-1.478,0.044
-0.744,0.616,-1.481,0.044
-0.742,0.617,-1.485,0.043
-0.740,0.618,-1.488,0.043
-0.738,0.618,-1.492,0.043
-0.736,0.619,-1.495,0.043
-0.734,0.620,-1.498,0.042
-0.731,0.621,-1.502,0.042
-0.729,0.622,-1.505,0.042
-0.727,0.623,-1.509,0.042
-0.725,0.623,-1.512,0.041
-0.723,0.624,-1.515,0.041
-0.721,0.625,-1.519,0.041
-0.719,0.626,-1.522,0.041
