Time (s),fs1 (User unit),fs2 (User unit),fs3 (User unit),fs4 (User unit),fs5 (User unit),fs6 (User unit)
2.16,0,1.1,3.2,3.3,4.4,6.5
2.17,0,1.1,3.2,4.3,4.4,6.5
2.18,0,1.1,3.2,3.3,4.4,6.5
2.19,1,2.1,3.2,3.3,4.4,6.5
2.2,0,2.1,3.2,3.3,4.4,6.5
2.21,0,2.1,3.2,3.3,4.4,6.5
2.22,1,1.1,3.2,3.3,4.4,6.5
2.23,0,1.1,3.2,3.3,4.4,6.5
2.24,0,1.1,3.2,3.3,4.4,6.5
2.25,0,1.1,3.2,3.3,4.4,6.5
2.26,0,1.1,3.2,3.3,4.4,6.5
2.27,0,1.1,3.2,3.3,4.4,6.5
2.28,0,1.1,3.2,3.3,4.4,6.5
2.29,0,1.1,3.2,3.3,4.4,6.5
2.3,0,1.1,3.2,3.3,4.4,6.5
2.31,0,1.1,3.2,3.3,4.4,6.5
2.32,1,1.1,3.2,3.3,4.4,6.5
2.33,0,1.1,3.2,3.3,4.4,6.5
2.34,0,1.1,3.2,3.3,4.4,6.5
2.35,0,1.1,3.2,3.3,4.4,6.5
2.36,1,1.1,3.2,4.3,4.4,6.5
2.37,0,1.1,3.2,3.3,4.4,6.5
2.38,1,1.1,3.2,4.3,4.4,6.5
2.39,0,1.1,3.2,3.3,4.4,6.5
2.4,0,1.1,3.2,3.3,4.4,6.5
2.41,1,1.1,3.2,4.3,4.4,6.5
2.42,1,1.1,3.2,3.3,4.4,6.5
2.43,1,1.1,3.2,4.3,4.4,6.5
2.44,0,1.1,3.2,4.3,4.4,6.5
2.45,0,1.1,3.2,4.3,4.4,6.5
2.46,0,1.1,3.2,3.3,4.4,6.5
2.47,0,1.1,3.2,3.3,4.4,6.5
2.48,1,1.1,3.2,3.3,4.4,6.5
2.49,1,1.1,2.2,4.3,4.4,6.5
2.5,1,1.1,2.2,4.3,4.4,5.5
2.51,1,1.1,2.2,4.3,4.4,5.5
2.52,1,1.1,2.2,4.3,4.4,5.5
2.53,0,2.1,3.2,4.3,5.4,5.5
2.54,0,1.1,3.2,4.3,5.4,5.5
2.55,0,2.1,2.2,4.3,4.4,6.5
2.56,0,2.1,2.2,4.3,5.4,6.5
2.57,1,2.1,2.2,3.3,5.4,6.5
2.58,0,1.1,3.2,4.3,4.4,6.5
2.59,1,2.1,3.2,4.3,4.4,6.5
2.6,1,1.1,3.2,3.3,4.4,6.5
2.61,1,1.1,3.2,3.3,4.4,6.5
2.62,1,1.1,3.2,3.3,4.4,6.5
2.63,1,1.1,3.2,3.3,4.4,6.5
