Time (s),sf1 (User unit),sf2 (User unit),sf3 (User unit),sf4 (User unit),sf5 (User unit),sf6 (User unit)
4.400,+3.587e-02,+2.119e-02,+2.487e-02,+2.172e-02,+3.413e-02,+2.677e-02
4.410,+2.983e-02,+2.665e-02,+2.689e-02,+1.890e-02,+3.544e-02,+2.878e-02
4.420,Null,Null,Null,Null,Null,Null
4.430,+2.637e-02,+2.991e-02,+2.819e-02,+1.728e-02,+3.633e-02,+3.009e-02
4.440,+2.437e-02,+3.193e-02,+2.910e-02,+1.634e-02,+3.699e-02,+3.099e-02
4.450,+2.962e-02,+3.323e-02,+2.977e-02,+1.579e-02,+3.752e-02,+3.166e-02
4.460,Null,Null,Null,Null,Null,Null
4.470,+3.276e-02,+3.413e-02,+3.031e-02,+1.547e-02,+3.798e-02,+3.219e-02
4.480,Null,Null,Null,Null,Null,Null
4.490,+3.471e-02,+3.479e-02,+3.078e-02,+1.527e-02,+3.199e-02,+3.265e-02
4.500,+3.596e-02,+2.892e-02,+3.120e-02,+1.514e-02,+2.855e-02,+3.307e-02
4.510,+3.683e-02,+3.196e-02,+3.160e-02,+1.506e-02,+3.297e-02,+3.347e-02
4.520,Null,Null,Null,Null,Null,Null
4.530,+3.108e-02,+3.385e-02,+3.198e-02,+1.500e-02,+3.564e-02,+2.745e-02
4.540,+2.778e-02,+3.507e-02,+3.235e-02,+1.495e-02,+3.091e-02,+3.040e-02
4.550,+2.588e-02,+3.592e-02,+3.272e-02,+1.491e-02,+3.460e-02,+3.223e-02
4.560,Null,Null,Null,Null,Null,Null
4.570,+2.478e-02,+3.656e-02,+3.309e-02,+1.487e-02,+3.685e-02,+3.344e-02
4.580,+2.413e-02,+3.708e-02,+3.345e-02,+1.484e-02,+3.828e-02,+3.427e-02
4.590,Null,Null,Null,Null,Null,Null
4.600,+2.374e-02,+3.752e-02,+3.381e-02,+1.481e-02,+3.925e-02,+2.851e-02
4.610,+2.350e-02,+3.793e-02,+3.417e-02,+1.478e-02,+3.995e-02,+2.520e-02
4.620,+2.334e-02,+3.831e-02,+3.453e-02,+1.475e-02,+4.049e-02,+2.330e-02
4.630,Null,Null,Null,Null,Null,Null
4.640,+2.323e-02,+3.868e-02,+3.489e-02,+1.472e-02,+4.095e-02,+2.860e-02
4.650,+2.315e-02,+3.904e-02,+3.525e-02,+1.469e-02,+4.137e-02,+3.177e-02
4.660,+2.308e-02,+3.939e-02,+3.561e-02,+1.466e-02,+4.175e-02,+3.373e-02
4.670,Null,Null,Null,Null,Null,Null
4.680,+2.302e-02,+3.334e-02,+3.597e-02,+1.463e-02,+4.211e-02,+3.500e-02
4.690,+2.297e-02,+2.988e-02,+3.632e-02,+1.460e-02,+4.247e-02,+3.588e-02
4.700,+2.292e-02,+2.788e-02,+3.668e-02,+1.457e-02,+3.642e-02,+3.653e-02
4.710,Null,Null,Null,Null,Null,Null
4.720,+2.287e-02,+2.672e-02,+3.703e-02,+1.454e-02,+3.295e-02,+3.705e-02
4.730,+2.282e-02,+2.603e-02,+3.739e-02,+1.451e-02,+3.094e-02,+3.750e-02
4.740,Null,Null,Null,Null,Null,Null
4.750,+2.278e-02,+2.562e-02,+3.774e-02,+1.448e-02,+2.977e-02,+3.791e-02
4.760,+2.273e-02,+3.176e-02,+3.809e-02,+1.446e-02,+2.909e-02,+3.829e-02
4.770,+2.269e-02,+3.542e-02,+3.844e-02,+1.443e-02,+2.867e-02,+3.866e-02
4.780,Null,Null,Null,Null,Null,Null
4.790,+2.904e-02,+3.765e-02,+3.239e-02,+1.440e-02,+3.481e-02,+3.902e-02
4.800,Null,Null,Null,Null,Null,Null
4.810,+3.512e-02,+2.981e-02,+2.693e-02,+1.816e-02,+4.068e-02,+3.973e-02
4.820,Null,Null,Null,Null,Null,Null
4.830,+3.658e-02,+2.815e-02,+2.577e-02,+1.666e-02,+4.209e-02,+4.008e-02
4.840,Null,Null,Null,Null,Null,Null
4.850,+3.757e-02,+2.719e-02,+2.508e-02,+1.579e-02,+3.664e-02,+4.043e-02
4.860,+3.828e-02,+2.662e-02,+2.468e-02,+1.528e-02,+3.351e-02,+4.078e-02
4.870,+3.883e-02,+3.267e-02,+3.082e-02,+1.498e-02,+3.170e-02,+3.473e-02
4.880,Null,Null,Null,Null,Null,Null
4.890,+3.930e-02,+3.627e-02,+3.447e-02,+1.480e-02,+3.065e-02,+3.765e-02
4.900,+3.972e-02,+3.847e-02,+3.671e-02,+2.108e-02,+3.642e-02,+3.307e-02
4.910,+4.010e-02,+3.987e-02,+3.813e-02,+2.482e-02,+3.346e-02,+3.043e-02
4.920,Null,Null,Null,Null,Null,Null
4.930,+4.083e-02,+4.151e-02,+3.339e-02,+2.857e-02,+3.714e-02,+2.801e-02
4.940,Null,Null,Null,Null,Null,Null
4.950,+4.118e-02,+4.205e-02,+3.011e-02,+2.957e-02,+4.036e-02,+3.388e-02
4.960,Null,Null,Null,Null,Null,Null
4.970,+4.153e-02,+3.610e-02,+2.823e-02,+2.389e-02,+4.234e-02,+3.738e-02
4.980,+4.188e-02,+3.909e-02,+2.713e-02,+2.064e-02,+4.362e-02,+3.951e-02
4.990,+4.223e-02,+4.094e-02,+3.288e-02,+1.877e-02,+4.449e-02,+3.448e-02
5.000,Null,Null,Null,Null,Null,Null
5.010,+4.257e-02,+4.214e-02,+3.631e-02,+1.769e-02,+4.513e-02,+3.159e-02
5.020,+4.291e-02,+4.297e-02,+3.201e-02,+1.707e-02,+4.564e-02,+2.992e-02
5.030,Null,Null,Null,Null,Null,Null
5.040,+3.686e-02,+4.359e-02,+2.954e-02,+1.669e-02,+4.608e-02,+2.894e-02
5.050,+3.978e-02,+4.409e-02,+3.451e-02,+2.287e-02,+4.647e-02,+3.476e-02
5.060,+4.159e-02,+4.452e-02,+3.749e-02,+2.654e-02,+4.684e-02,+3.822e-02
5.070,Null,Null,Null,Null,Null,Null
5.080,+4.277e-02,+3.851e-02,+3.933e-02,+2.880e-02,+4.079e-02,+4.034e-02
