Time (s),sf1,sf2,sf3,sf4,sf5,sf6
5.26,+3.130e-02,+3.618e-02,+4.610e-02,+1.726e-02,+3.196e-02,+4.743e-02
5.27,+3.114e-02,+3.994e-02,+4.643e-02,+1.722e-02,+3.189e-02,+4.777e-02
5.28,+3.102e-02,+4.223e-02,+4.677e-02,+1.719e-02,+3.183e-02,+4.810e-02
5.29,+3.092e-02,+4.367e-02,+4.710e-02,+1.715e-02,+3.176e-02,+4.843e-02
5.31,+3.084e-02,+4.465e-02,+4.743e-02,+1.712e-02,+3.170e-02,+4.876e-02
5.33,+3.070e-02,+3.948e-02,+4.810e-02,+1.705e-02,+3.157e-02,+4.942e-02
5.35,+3.703e-02,+3.612e-02,+4.843e-02,+1.701e-02,+3.151e-02,+4.975e-02
5.37,+4.079e-02,+3.417e-02,+4.876e-02,+1.698e-02,+3.144e-02,+5.008e-02
5.38,+4.308e-02,+3.304e-02,+4.909e-02,+1.695e-02,+3.138e-02,+5.041e-02
5.4,+4.452e-02,+3.236e-02,+4.942e-02,+1.691e-02,+3.132e-02,+5.074e-02
5.41,+4.549e-02,+3.195e-02,+4.975e-02,+2.328e-02,+3.126e-02,+5.106e-02
5.42,+4.619e-02,+3.169e-02,+5.008e-02,+2.066e-02,+3.119e-02,+5.139e-02
5.44,+4.673e-02,+3.151e-02,+5.041e-02,+1.916e-02,+3.753e-02,+5.171e-02
5.45,+4.718e-02,+3.778e-02,+5.074e-02,+2.469e-02,+3.489e-02,+5.204e-02
5.46,+4.758e-02,+4.150e-02,+4.466e-02,+2.799e-02,+3.335e-02,+5.236e-02
5.48,+4.795e-02,+4.377e-02,+4.117e-02,+3.003e-02,+3.245e-02,+5.268e-02
5.49,+4.830e-02,+4.520e-02,+3.915e-02,+3.135e-02,+3.831e-02,+5.301e-02
5.51,+4.865e-02,+4.616e-02,+3.796e-02,+3.226e-02,+4.180e-02,+5.333e-02
5.52,+4.898e-02,+4.686e-02,+3.726e-02,+3.293e-02,+4.393e-02,+5.365e-02
5.53,+4.932e-02,+4.739e-02,+3.682e-02,+3.347e-02,+4.529e-02,+5.397e-02
5.54,+4.965e-02,+4.784e-02,+3.654e-02,+3.393e-02,+4.620e-02,+5.429e-02
5.56,+4.998e-02,+4.824e-02,+3.635e-02,+3.435e-02,+4.687e-02,+5.461e-02
5.57,+5.031e-02,+4.861e-02,+3.621e-02,+3.474e-02,+4.739e-02,+5.493e-02
5.59,+5.064e-02,+4.896e-02,+3.610e-02,+3.512e-02,+4.783e-02,+5.525e-02
5.6,+5.096e-02,+4.930e-02,+3.601e-02,+3.549e-02,+4.823e-02,+5.556e-02
5.61,+4.489e-02,+4.964e-02,+3.593e-02,+3.585e-02,+4.859e-02,+5.588e-02
5.63,+4.140e-02,+4.357e-02,+3.585e-02,+3.621e-02,+4.894e-02,+5.620e-02
5.65,+4.577e-02,+4.648e-02,+3.577e-02,+3.017e-02,+4.928e-02,+5.651e-02
5.66,+4.841e-02,+4.828e-02,+3.570e-02,+2.670e-02,+4.962e-02,+5.683e-02
5.68,+5.005e-02,+4.945e-02,+3.562e-02,+2.471e-02,+4.995e-02,+5.714e-02
5.69,+5.112e-02,+5.025e-02,+3.555e-02,+2.356e-02,+5.028e-02,+5.746e-02
5.7,+5.187e-02,+5.085e-02,+3.548e-02,+2.288e-02,+4.421e-02,+5.777e-02
5.72,+5.244e-02,+5.133e-02,+3.541e-02,+2.247e-02,+4.072e-02,+5.808e-02
5.73,+4.650e-02,+5.175e-02,+3.534e-02,+2.222e-02,+3.870e-02,+5.839e-02
5.75,+4.948e-02,+5.212e-02,+3.527e-02,+2.206e-02,+3.751e-02,+5.870e-02
5.77,+5.132e-02,+5.247e-02,+3.520e-02,+2.195e-02,+3.681e-02,+5.901e-02
5.78,+5.251e-02,+5.281e-02,+3.513e-02,+2.187e-02,+3.638e-02,+5.932e-02
5.8,+5.332e-02,+5.314e-02,+3.506e-02,+2.180e-02,+3.610e-02,+5.963e-02
5.81,+5.392e-02,+5.347e-02,+3.499e-02,+2.175e-02,+3.591e-02,+5.994e-02
5.83,+5.440e-02,+5.379e-02,+3.492e-02,+2.170e-02,+3.577e-02,+6.025e-02
5.84,+4.841e-02,+5.412e-02,+3.485e-02,+2.165e-02,+3.566e-02,+6.056e-02
5.86,+4.496e-02,+5.444e-02,+4.118e-02,+2.161e-02,+3.557e-02,+6.086e-02
5.87,+4.296e-02,+5.476e-02,+4.493e-02,+2.156e-02,+3.549e-02,+6.117e-02
5.89,+4.178e-02,+5.508e-02,+4.720e-02,+2.152e-02,+3.541e-02,+6.148e-02
5.9,+4.108e-02,+5.539e-02,+4.224e-02,+2.147e-02,+4.173e-02,+6.178e-02
5.92,+4.064e-02,+5.571e-02,+3.939e-02,+2.143e-02,+4.548e-02,+6.209e-02
5.93,+4.036e-02,+5.603e-02,+4.413e-02,+2.139e-02,+4.776e-02,+6.239e-02
5.95,+4.017e-02,+5.634e-02,+4.697e-02,+2.134e-02,+4.919e-02,+6.269e-02
5.96,+4.002e-02,+5.026e-02,+4.873e-02,+2.130e-02,+5.015e-02,+6.299e-02
5.98,+3.990e-02,+4.675e-02,+4.987e-02,+2.126e-02,+5.084e-02,+6.330e-02
5.99,+3.980e-02,+4.472e-02,+5.066e-02,+2.122e-02,+4.497e-02,+6.360e-02
6.01,+3.971e-02,+4.352e-02,+5.126e-02,+2.117e-02,+4.159e-02,+6.390e-02
6.02,+3.962e-02,+4.281e-02,+5.173e-02,+2.113e-02,+3.964e-02,+6.420e-02
6.04,+3.954e-02,+4.236e-02,+5.214e-02,+2.109e-02,+3.849e-02,+6.450e-02
6.05,+3.946e-02,+4.207e-02,+5.251e-02,+2.105e-02,+3.780e-02,+6.480e-02
6.07,+3.938e-02,+4.187e-02,+5.287e-02,+2.101e-02,+3.738e-02,+6.510e-02
6.09,+3.930e-02,+4.172e-02,+5.320e-02,+2.736e-02,+3.711e-02,+6.539e-02
6.1,+3.922e-02,+4.160e-02,+5.353e-02,+2.474e-02,+4.332e-02,+6.569e-02
6.12,+3.914e-02,+4.150e-02,+5.386e-02,+2.323e-02,+4.700e-02,+6.599e-02
6.13,+3.906e-02,+4.140e-02,+5.418e-02,+2.235e-02,+4.924e-02,+6.628e-02
6.15,+3.898e-02,+4.131e-02,+5.450e-02,+2.823e-02,+5.065e-02,+6.658e-02
6.17,+3.891e-02,+4.122e-02,+5.482e-02,+3.173e-02,+5.160e-02,+6.687e-02
6.18,+3.883e-02,+4.114e-02,+5.514e-02,+3.388e-02,+5.228e-02,+6.717e-02
6.2,+3.875e-02,+4.106e-02,+5.546e-02,+3.526e-02,+5.280e-02,+6.746e-02
6.21,+3.867e-02,+4.097e-02,+5.578e-02,+3.620e-02,+5.324e-02,+6.775e-02
6.22,+3.860e-02,+4.089e-02,+5.609e-02,+3.688e-02,+5.362e-02,+6.805e-02
6.24,+3.852e-02,+4.081e-02,+5.641e-02,+3.743e-02,+5.398e-02,+6.834e-02
6.25,+3.844e-02,+4.073e-02,+5.673e-02,+3.149e-02,+5.432e-02,+6.863e-02
6.27,+3.836e-02,+4.064e-02,+5.704e-02,+2.808e-02,+5.465e-02,+6.892e-02
6.29,+3.829e-02,+4.056e-02,+5.735e-02,+2.612e-02,+5.498e-02,+6.921e-02
6.3,+3.821e-02,+4.048e-02,+5.767e-02,+2.498e-02,+5.530e-02,+6.950e-02
6.32,+3.814e-02,+4.040e-02,+5.798e-02,+2.431e-02,+4.922e-02,+6.979e-02
6.33,+4.446e-02,+4.032e-02,+5.829e-02,+2.391e-02,+4.572e-02,+7.008e-02
6.35,+4.180e-02,+4.664e-02,+5.860e-02,+2.366e-02,+4.369e-02,+7.036e-02
6.37,+4.665e-02,+4.398e-02,+5.891e-02,+2.350e-02,+4.250e-02,+7.065e-02
6.38,+4.956e-02,+4.243e-02,+5.922e-02,+2.339e-02,+4.178e-02,+7.094e-02
6.4,+4.495e-02,+4.151e-02,+5.953e-02,+2.330e-02,+4.134e-02,+7.122e-02
6.41,+4.229e-02,+4.095e-02,+5.984e-02,+2.323e-02,+4.105e-02,+7.151e-02
6.43,+4.074e-02,+4.700e-02,+6.015e-02,+2.318e-02,+4.085e-02,+7.179e-02
6.45,+3.983e-02,+5.058e-02,+6.046e-02,+2.312e-02,+4.070e-02,+7.208e-02
6.46,+3.927e-02,+5.276e-02,+6.076e-02,+2.307e-02,+4.058e-02,+7.236e-02
6.48,+3.892e-02,+5.414e-02,+6.107e-02,+2.302e-02,+4.048e-02,+7.265e-02
6.49,+3.869e-02,+5.506e-02,+6.138e-02,+2.298e-02,+4.039e-02,+7.293e-02
6.51,+3.853e-02,+5.572e-02,+6.168e-02,+2.293e-02,+4.030e-02,+7.321e-02
6.53,+3.840e-02,+5.623e-02,+6.199e-02,+2.288e-02,+4.022e-02,+7.349e-02
6.54,+3.829e-02,+5.666e-02,+6.229e-02,+2.284e-02,+4.013e-02,+7.377e-02
6.56,+3.820e-02,+5.704e-02,+6.259e-02,+2.279e-02,+4.005e-02,+7.405e-02
6.58,+3.811e-02,+5.099e-02,+6.290e-02,+2.275e-02,+3.997e-02,+7.433e-02
6.59,+3.803e-02,+4.750e-02,+6.320e-02,+2.270e-02,+3.989e-02,+7.461e-02
6.61,+3.795e-02,+4.548e-02,+6.350e-02,+2.266e-02,+3.981e-02,+7.489e-02
6.63,+3.788e-02,+4.429e-02,+6.380e-02,+2.261e-02,+3.973e-02,+7.517e-02
6.65,+3.780e-02,+4.357e-02,+6.410e-02,+2.256e-02,+3.965e-02,+7.545e-02
6.66,+3.772e-02,+4.313e-02,+6.440e-02,+2.252e-02,+3.957e-02,+7.572e-02
6.68,+3.765e-02,+4.284e-02,+6.470e-02,+2.247e-02,+3.949e-02,+7.600e-02
6.69,+3.757e-02,+4.264e-02,+6.500e-02,+2.243e-02,+3.941e-02,+7.628e-02
6.71,+3.750e-02,+4.888e-02,+6.530e-02,+2.238e-02,+3.933e-02,+7.655e-02
6.72,+3.742e-02,+5.258e-02,+6.559e-02,+2.874e-02,+3.926e-02,+7.683e-02
6.73,+3.735e-02,+5.482e-02,+6.589e-02,+3.251e-02,+3.918e-02,+7.710e-02
6.75,+3.727e-02,+5.623e-02,+5.979e-02,+3.482e-02,+3.910e-02,+7.737e-02
6.76,+3.720e-02,+5.077e-02,+5.626e-02,+3.628e-02,+3.902e-02,+7.765e-02
6.77,+4.352e-02,+4.762e-02,+5.421e-02,+3.727e-02,+3.894e-02,+7.792e-02
6.79,+4.727e-02,+4.579e-02,+5.300e-02,+3.798e-02,+4.526e-02,+7.819e-02
6.81,+4.954e-02,+4.471e-02,+5.226e-02,+3.854e-02,+4.261e-02,+7.846e-02
