Time (s),fs1 (User unit),fs2 (User unit),fs3 (User unit),fs4 (User unit),fs5 (User unit),fs6 (User unit)
0.960,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.970,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.980,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.990,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
1.000,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
1.010,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
1.020,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
1.030,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
1.040,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
1.050,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+4.400e+00,+5.500e+00
1.060,+1.000e+00,+1.100e+00,+3.200e+00,+3.300e+00,+4.400e+00,+5.500e+00
1.070,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+4.400e+00,+5.500e+00
1.080,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+4.400e+00,+5.500e+00
1.090,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+4.400e+00,+5.500e+00
1.100,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+4.400e+00,+6.500e+00
1.110,0.0,+2.100e+00,+2.200e+00,+3.300e+00,+5.400e+00,+6.500e+00
1.120,0.0,+1.100e+00,+3.200e+00,+3.300e+00,+4.400e+00,+6.500e+00
1.130,+1.000e+00,+1.100e+00,+3.200e+00,+4.300e+00,+4.400e+00,+6.500e+00
1.140,+1.000e+00,+1.100e+00,+3.200e+00,+4.300e+00,+4.400e+00,+6.500e+00
1.150,+1.000e+00,+1.100e+00,+3.200e+00,+4.300e+00,+4.400e+00,+6.500e+00
1.160,0.0,+2.100e+00,+3.200e+00,+4.300e+00,+4.400e+00,+6.500e+00
1.170,0.0,+1.100e+00,+3.200e+00,+4.300e+00,+4.400e+00,+6.500e+00
1.180,0.0,+2.100e+00,+3.200e+00,+4.300e+00,+4.400e+00,+6.500e+00
