__time,/sim_ros_interface/topic/forwardModel/data[0],/sim_ros_interface/topic/forwardModel/data[10],/sim_ros_interface/topic/forwardModel/data[11],/sim_ros_interface/topic/forwardModel/data[12],/sim_ros_interface/topic/forwardModel/data[13],/sim_ros_interface/topic/forwardModel/data[14],/sim_ros_interface/topic/forwardModel/data[15],/sim_ros_interface/topic/forwardModel/data[16],/sim_ros_interface/topic/forwardModel/data[17],/sim_ros_interface/topic/forwardModel/data[18],/sim_ros_interface/topic/forwardModel/data[19],/sim_ros_interface/topic/forwardModel/data[1],/sim_ros_interface/topic/forwardModel/data[20],/sim_ros_interface/topic/forwardModel/data[21],/sim_ros_interface/topic/forwardModel/data[22],/sim_ros_interface/topic/forwardModel/data[23],/sim_ros_interface/topic/forwardModel/data[24],/sim_ros_interface/topic/forwardModel/data[25],/sim_ros_interface/topic/forwardModel/data[26],/sim_ros_interface/topic/forwardModel/data[27],/sim_ros_interface/topic/forwardModel/data[28],/sim_ros_interface/topic/forwardModel/data[29],/sim_ros_interface/topic/forwardModel/data[2],/sim_ros_interface/topic/forwardModel/data[30],/sim_ros_interface/topic/forwardModel/data[31],/sim_ros_interface/topic/forwardModel/data[32],/sim_ros_interface/topic/forwardModel/data[33],/sim_ros_interface/topic/forwardModel/data[34],/sim_ros_interface/topic/forwardModel/data[35],/sim_ros_interface/topic/forwardModel/data[36],/sim_ros_interface/topic/forwardModel/data[37],/sim_ros_interface/topic/forwardModel/data[38],/sim_ros_interface/topic/forwardModel/data[39],/sim_ros_interface/topic/forwardModel/data[3],/sim_ros_interface/topic/forwardModel/data[40],/sim_ros_interface/topic/forwardModel/data[41],/sim_ros_interface/topic/forwardModel/data[42],/sim_ros_interface/topic/forwardModel/data[43],/sim_ros_interface/topic/forwardModel/data[44],/sim_ros_interface/topic/forwardModel/data[45],/sim_ros_interface/topic/forwardModel/data[46],/sim_ros_interface/topic/forwardModel/data[47],/sim_ros_interface/topic/forwardModel/data[48],/sim_ros_interface/topic/forwardModel/data[4],/sim_ros_interface/topic/forwardModel/data[5],/sim_ros_interface/topic/forwardModel/data[6],/sim_ros_interface/topic/forwardModel/data[7],/sim_ros_interface/topic/forwardModel/data[8],/sim_ros_interface/topic/forwardModel/data[9],/sim_ros_interface/topic/forwardModel/layout/data_offset,/sim_ros_interface/topic/sfweights/data[0],/sim_ros_interface/topic/sfweights/data[1],/sim_ros_interface/topic/sfweights/data[2],/sim_ros_interface/topic/sfweights/data[3],/sim_ros_interface/topic/sfweights/data[4],/sim_ros_interface/topic/sfweights/data[5],/sim_ros_interface/topic/sfweights/layout/data_offset
1716562127.541399,0.000000000,1.000000000,0.055421881,0.000000000,187.727844238,0.011944423,0.005541119,0.000000000,1.000000000,1.000000000,0.066608228,0.000000000,0.000000000,180.145797729,0.052108515,0.018172186,0.000000000,0.000000000,0.000000000,0.144657716,0.000000000,0.105668329,0.000000000,1.584084868,1.049177170,0.000000000,1.000000000,1.000000000,0.056099612,0.000000000,188.093032837,0.011944423,0.005541119,0.142526448,0.000000000,1.000000000,1.000000000,0.067365684,0.000000000,179.548461914,0.052108515,0.018172186,0.170000000,0.000000000,0.140824705,1.584084868,1.049177170,0.000000000,1.000000000,0.000000000,,,,,,,
1716562127.541434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142526448,0.055421881,0.066608228,0.144657716,0.056099612,0.067365684,0.000000000
1716562127.574491,0.000000000,1.000000000,0.059402891,0.000000000,176.170394897,0.075343691,0.026481891,0.000000000,1.000000000,1.000000000,0.072785079,0.000000000,0.000000000,196.314437866,0.188285321,0.069206126,0.000000000,0.000000000,0.000000000,0.144333735,0.000000000,-0.017733416,0.000000000,1.674789786,1.236860991,0.000000000,1.000000000,1.000000000,0.059809372,0.000000000,176.719818115,0.075343691,0.026481891,0.142206728,0.000000000,1.000000000,1.000000000,0.073541015,0.000000000,198.881515503,0.188285321,0.069206126,0.170000000,0.000000000,0.035414290,1.674789786,1.236860991,0.000000000,1.000000000,0.000000000,,,,,,,
1716562127.574519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142206728,0.059402891,0.072785079,0.144333735,0.059809372,0.073541015,0.000000000
1716562127.607767,0.000000000,1.000000000,0.061800443,0.000000000,176.130050659,0.197905526,0.077908985,0.000000000,1.000000000,1.000000000,0.076420248,0.000000000,0.000000000,196.325500488,0.250020713,0.123450503,0.000000000,0.000000000,0.000000000,0.144025311,0.000000000,0.094793722,0.000000000,1.615023255,1.350309610,0.000000000,1.000000000,1.000000000,0.062052269,0.000000000,176.551803589,0.197905526,0.077908985,0.141902566,0.000000000,1.000000000,1.000000000,0.077174678,0.000000000,198.891143799,0.250020713,0.123450503,0.170000000,0.000000000,0.066868685,1.615023255,1.350309610,0.000000000,1.000000000,0.000000000,,,,,,,
1716562127.607797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141902566,0.061800443,0.076420248,0.144025311,0.062052269,0.077174678,0.000000000
1716562127.641410,0.000000000,1.000000000,0.063295163,0.000000000,193.931350708,0.410189867,0.177593246,0.000000000,1.000000000,1.000000000,0.078606427,0.000000000,0.000000000,-0.161896899,0.313540608,0.180477530,0.000000000,0.000000000,0.000000000,0.143726006,0.000000000,-0.076074168,0.000000000,1.563383579,1.414231777,0.000000000,1.000000000,1.000000000,0.063458800,0.000000000,193.507217407,0.410189867,0.177593246,0.141607493,0.000000000,1.000000000,1.000000000,0.079359345,0.000000000,-0.089915216,0.313540608,0.180477530,0.170000000,0.000000000,0.212003112,1.563383579,1.414231777,0.000000000,1.000000000,0.000000000,,,,,,,
1716562127.641440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141607493,0.063295163,0.078606427,0.143726006,0.063458800,0.079359345,0.000000000
1716562127.674520,0.000000000,1.000000000,0.064275019,0.000000000,195.825012207,0.655478835,0.320958912,0.000000000,1.000000000,1.000000000,0.079966456,0.000000000,0.000000000,132.491439819,0.459667921,0.264234662,0.000000000,0.000000000,0.000000000,0.143432140,0.000000000,-0.033314154,0.000000000,1.579666138,1.463862062,0.000000000,1.000000000,1.000000000,0.064388342,0.000000000,195.362731934,0.655478835,0.320958912,0.141317859,0.000000000,1.000000000,1.000000000,0.080717869,0.000000000,-0.116423562,0.459667921,0.264234662,0.170000000,0.000000000,-0.059455812,1.579666138,1.463862062,0.000000000,1.000000000,0.000000000,,,,,,,
1716562127.674556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141317859,0.064275019,0.079966456,0.143432140,0.064388342,0.080717869,0.000000000
1716562127.708004,0.000000000,1.000000000,0.064961143,0.000000000,175.083679199,0.889924526,0.491648614,0.000000000,1.000000000,1.000000000,0.080855347,0.000000000,0.000000000,-0.117746405,0.647284567,0.379149616,0.000000000,0.000000000,0.000000000,0.143141612,0.000000000,-0.004455119,0.000000000,1.614407659,1.509025812,0.000000000,1.000000000,1.000000000,0.065045752,0.000000000,175.412414551,0.889924526,0.491648614,0.141031563,0.000000000,1.000000000,1.000000000,0.081605263,0.000000000,0.115318432,0.647284567,0.379149616,0.170000000,0.000000000,-0.102982931,1.614407659,1.509025812,0.000000000,1.000000000,0.000000000,,,,,,,
1716562127.708036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141031563,0.064961143,0.080855347,0.143141612,0.065045752,0.081605263,0.000000000
1716562127.741119,0.000000000,1.000000000,0.065479584,0.000000000,175.124679565,1.102046251,0.674767911,0.000000000,1.000000000,1.000000000,0.081475474,0.000000000,0.000000000,0.016415399,0.850577891,0.520578086,0.000000000,0.000000000,0.000000000,0.142853245,0.000000000,0.170595586,0.000000000,1.641187429,1.548674345,0.000000000,1.000000000,1.000000000,0.065547779,0.000000000,175.408737183,1.102046251,0.674767911,0.140747428,0.000000000,0.000000000,0.000000000,0.082223885,0.000000000,0.076043688,0.850577891,0.520578086,0.170000000,0.000000000,-0.089367613,1.641187429,1.548674345,0.000000000,1.000000000,0.000000000,,,,,,,
1716562127.741149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140747428,0.065479584,0.081475474,0.142853245,0.065547779,0.082223885,0.000000000
